|IAU_Name|ObjectName|RA_hhmmss|DEC_ddmmss|Redshift|RefStarRegFile|RefStarID|Rmag|Rmag_err|NoteIdx|Note
0|0219+428|3C66A|02 22 39.6|+43 02 08|0.444|RefStars_3C66A_fk5.reg|A|13.333|0.006999999999999999|1|recommend
1|0219+428|3C66A|02 22 39.6|+43 02 08|0.444|RefStars_3C66A_fk5.reg|B|14.232999999999999|0.006|1|recommend
2|0219+428|3C66A|02 22 39.6|+43 02 08|0.444|RefStars_3C66A_fk5.reg|C1|12.7|0.008|1|recommend
3|0219+428|3C66A|02 22 39.6|+43 02 08|0.444|RefStars_3C66A_fk5.reg|C2|13.581|0.009000000000000001|1|recommend
4|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|1|12.69|0.02|1|recommend
5|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|2|12.23|0.02|1|recommend
6|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|3|12.48|0.03|1|recommend
7|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|8|14.203|0.006|2|notRecommend
8|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|9|14.19|0.022000000000000002|2|notRecommend
9|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|10|15.743|0.024|2|notRecommend
10|0235+164|AO0235+16|02 38 38.9|+16 36 59|0.94|RefStars_AO0235+16_fk5.reg|11|13.589|0.013000000000000001|2|notRecommend
11|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|1|10.63|0.01|2|notRecommend
12|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|2|11.12|0.01|1|recommend
13|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|3|12.06|0.01|1|recommend
14|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|4|12.89|0.01|2|notRecommend
15|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|5|13.18|0.01|1|recommend
16|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|6|13.26|0.01|1|recommend
17|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|7|13.32|0.01|2|notRecommend
18|0716+714|S50716+71|07 21 53.4|+71 20 36|0.3|RefStars_S50716+71_fk5.reg|8|13.79|0.02|2|notRecommend
19|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|C1|12.89|0.04|2|notRecommend
20|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|C|13.85|0.04|1|recommend
21|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|D|15.49|0.05|1|recommend
22|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|C2|12.79|0.04|2|notRecommend
23|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|C4|13.8|0.04|2|notRecommend
24|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|C7|14.7|0.06|2|notRecommend
25|0735+178|PKS0735+17|07 38 07.4|+17 42 19|0.424|RefStars_PKS0735+17_fk5.reg|A|13.1|0.05|1|recommend
26|0827+243|OJ248|08 30 52.1|+24 11 00|0.9390000000000001|RefStars_OJ248_fk5.reg|1|13.76|0.02|1|recommend
27|0827+243|OJ248|08 30 52.1|+24 11 00|0.9390000000000001|RefStars_OJ248_fk5.reg|2|14.46|0.03|1|recommend
28|0827+243|OJ248|08 30 52.1|+24 11 00|0.9390000000000001|RefStars_OJ248_fk5.reg|3|14.32|0.02|1|recommend
29|0827+243|OJ248|08 30 52.1|+24 11 00|0.9390000000000001|RefStars_OJ248_fk5.reg|4|15.18|0.03|1|recommend
30|0827+243|OJ248|08 30 52.1|+24 11 00|0.9390000000000001|RefStars_OJ248_fk5.reg|5|16.4|0.02|1|recommend
31|0829+046|OJ49|08 31 48.9|+04 29 39|0.173683|RefStars_OJ49_fk5.reg|C1|12.47|0.06|2|notRecommend
32|0829+046|OJ49|08 31 48.9|+04 29 39|0.173683|RefStars_OJ49_fk5.reg|C2|13.27|0.06|1|recommend
33|0829+046|OJ49|08 31 48.9|+04 29 39|0.173683|RefStars_OJ49_fk5.reg|C3|13.23|0.05|1|recommend
34|0829+046|OJ49|08 31 48.9|+04 29 39|0.173683|RefStars_OJ49_fk5.reg|C4|13.19|0.06|2|notRecommend
35|0829+046|OJ49|08 31 48.9|+04 29 39|0.173683|RefStars_OJ49_fk5.reg|C5|14.77|0.06|2|notRecommend
36|0836+710|4C71.07|08 41 24.3|+70 53 42|2.1719999999999997|RefStars_4C71.07_fk5.reg|A|16.59|0.1|2|notRecommend
37|0836+710|4C71.07|08 41 24.3|+70 53 42|2.1719999999999997|RefStars_4C71.07_fk5.reg|B|14.85|0.05|1|recommend
38|0836+710|4C71.07|08 41 24.3|+70 53 42|2.1719999999999997|RefStars_4C71.07_fk5.reg|C|13.53|0.05|1|recommend
39|0851+202|OJ287|08 54 48.9|+20 06 31|0.306|RefStars_OJ287_fk5.reg|4|13.74|0.04|1|recommend
40|0851+202|OJ287|08 54 48.9|+20 06 31|0.306|RefStars_OJ287_fk5.reg|10|14.34|0.05|1|recommend
41|0851+202|OJ287|08 54 48.9|+20 06 31|0.306|RefStars_OJ287_fk5.reg|11|14.65|0.05|1|recommend
