filename	NoteIdx	Note
3C273-20180403@125400-R_30508_calib.new	2	badfitting(Rmag=12.89,dR=0.26)
3C273-20180403@125733-R_30508_calib.new	2	badfitting(Rmag=12.89,dR=0.23)
3C279-20190106@215246-R_Astrodon_2018_calib.new	2	cloudy(R=15.21,dR=0.13)
3C279-20190106@215607-R_Astrodon_2018_calib.new	2	cloudy(R=15.32,dR=0.20)
3C345-20180404@203520-R_30508_calib.new	2	cloudy(dR=0.27)
3C345-20180413@163512-R_30508_calib.new	2	cannotfit(Rmag=nan)
3C345-20180413@163827-R_30508_calib.new	2	cannotfit(Rmag=nan)
3C345-20180502@144018-R_30508_calib.new	2	cloudy(Rmag=17.37,dR=0.25)
3C345-20180502@144332-R_30508_calib.new	2	cloudy(Rmag=17.82,dR=0.29)
3C345-20180506@204711-R_30508_calib.new	2	cloudy(Rmag=16.69,dR=0.29)
3C345-20180711@172406-R_30508_calib.new	2	cloudy(dR=0.77)
3C345-20180711@172721-R_30508_calib.new	2	cloudy(dR=1.64)
3C345-20180729@162848-R_30508_calib.new	4	cloudy(Rmag=17.51,dR=0.17)
3C345-20180729@163203-R_30508_calib.new	4	cloudy(Rmag=17.23,dR=0.15)
4C29-45-20181227@195326-V_Astrodon_2018_calib.new	2	cloudy(Rmag=17.51,dR=0.24)
4C29-45-20181227@195644-V_Astrodon_2018_calib.new	2	cloudy(Rmag=17.09,dR=0.20)
4C29-45-20181229@213115-V_Astrodon_2018_calib.new	2	cloudy(Rmag=18.38,dR=0.24)
4C38-41-20180413@162201-R_30508_calib.new	2	cloudy(Rmag=nan)
4C38-41-20180502@142707-R_30508_calib.new	2	cloudy(Rmag=15.98,dR=0.57)
4C38-41-20180502@143022-R_30508_calib.new	2	cloudy(Rmag=15.98,dR=0.41)
4C38-41-20180711@171055-R_30508_calib.new	3	flat
4C38-41-20180711@171409-R_30508_calib.new	3	flat
4C51-37-20180413@164231-R_30508_calib.new	2	coludy(Rmag=18.51,dR=1.34)
4C51-37-20180413@164605-R_30508_calib.new	2	coludy(Rmag=18.10,dR=0.58)
4C51-37-20180502@144718-R_30508_calib.new	2	coludy(Rmag=17.74,dR=1.07)
4C51-37-20180502@145051-R_30508_calib.new	2	coludy(Rmag=16.70,dR=1.06)
4C51-37-20180510@163517-R_30508_calib.new	2	coludy(Rmag=18.05,dR=0.35)
4C51-37-20180510@163850-R_30508_calib.new	2	coludy(Rmag=17.02,dR=0.57)
4C51-37-20180530@165325-R_30508_calib.new	2	coludy(Rmag=18.98,dR=0.49)
4C51-37-20180530@172445-R_30508_calib.new	2	coludy(Rmag=18.34,dR=0.28)
4C51-37-20180530@172818-R_30508_calib.new	2	coludy(Rmag=18.06,dR=0.37)
