YYYYMMDD	Filter	Target
20140225	R	3C273
20140225	R	3C279
20140225	R	3C345
20140225	R	4C29-45
20140225	R	4C38-41
20140225	R	4C51-37
20140225	R	4C71-07
20140225	R	DA406
20140225	R	Mkn421
20140225	R	Mkn501
20140225	R	OJ248
20140225	R	OJ287
20140225	R	OJ49
20140225	R	ON231
20140225	R	PKS0735+17
20140225	R	S4_0954+65
20140225	R	S5_0716+71
20140226	R	3C66A
20140226	R	4C29-45
20140226	R	4C71-07
20140226	R	AO0235+16
20140226	R	Mkn421
20140226	R	OJ248
20140226	R	OJ287
20140226	R	OJ49
20140226	R	ON231
20140226	R	PKS0420-01
20140226	R	PKS0528+134
20140226	R	PKS0735+17
20140226	R	S4_0954+65
20140226	R	S5_0716+71
20140228	R	3C66A
20140228	R	AO0235+16
20140228	R	OJ248
20140228	R	OJ49
20140228	R	PKS0420-01
20140228	R	PKS0528+134
20140228	R	PKS0735+17
20140228	R	S5_0716+71
20140302	R	3C66A
20140302	R	AO0235+16
20140302	R	PKS0420-01
20140302	R	PKS0528+134
20140303	R	3C66A
20140303	R	4C71-07
20140303	R	AO0235+16
20140303	R	OJ248
20140303	R	OJ287
20140303	R	OJ49
20140303	R	PKS0420-01
20140303	R	PKS0528+134
20140303	R	PKS0735+17
20140303	R	S5_0716+71
20140315	R	OJ49
20140315	R	PKS0735+17
20140315	R	S5_0716+71
20140316	R	3C273
20140316	R	3C279
20140316	R	3C345
20140316	R	3C371
20140316	R	3C66A
20140316	R	4C29-45
20140316	R	4C38-41
20140316	R	4C51-37
20140316	R	4C71-07
20140316	R	AO0235+16
20140316	R	DA406
20140316	R	Mkn421
20140316	R	Mkn501
20140316	R	OJ248
20140316	R	OJ287
20140316	R	OJ49
20140316	R	ON231
20140316	R	PKS0420-01
20140316	R	PKS0528+134
20140316	R	S4_0954+65
20140316	R	S5_0716+71
20140317	R	3C273
20140317	R	3C279
20140317	R	3C345
20140317	R	4C29-45
20140317	R	4C38-41
20140317	R	4C71-07
20140317	R	DA406
20140317	R	Mkn421
20140317	R	OJ248
20140317	R	OJ287
20140317	R	OJ49
20140317	R	ON231
20140317	R	PKS0735+17
20140317	R	S4_0954+65
20140317	R	S5_0716+71
20140319	R	3C273
20140319	R	3C279
20140319	R	4C29-45
20140319	R	4C38-41
20140319	R	4C71-07
20140319	R	DA406
20140319	R	Mkn421
20140319	R	ON231
20140319	R	S4_0954+65
20140322	R	3C273
20140322	R	3C279
20140322	R	3C66A
20140322	R	4C29-45
