|IAU_Name|ObjectName|RA_hhmmss|DEC_ddmmss|Redshift|RefStarregname|RefStarID|RefStarRA_hhmmss|RefStarDEC_ddmmss|RefStarRA_deg|RefStarDEC_deg|Rmag|Rmag_err|NoteIdx|Note
0|0219+428|3C66A|02:22:39.6|+43:02:08|0.444|RefStar_3C66A_bkg_fk5.reg|3C66A|2:22:39.600|+43:02:08.00|35.665|43.035555555555554|-9999.0|-9999.0|0|star
1|0219+428|3C66A|02:22:39.6|+43:02:08|0.444|RefStar_3C66A_bkg_fk5.reg|A|2:22:43.949|+43:05:29.38|35.68312083333333|43.09149444444445|13.333|0.006999999999999999|1|recommend
2|0219+428|3C66A|02:22:39.6|+43:02:08|0.444|RefStar_3C66A_bkg_fk5.reg|B|2:22:45.225|+43:04:20.96|35.6884375|43.07248888888889|14.232999999999999|0.006|1|recommend
3|0219+428|3C66A|02:22:39.6|+43:02:08|0.444|RefStar_3C66A_bkg_fk5.reg|C1|2:22:55.105|+43:03:14.62|35.72960416666666|43.05406111111111|12.7|0.008|1|recommend
4|0219+428|3C66A|02:22:39.6|+43:02:08|0.444|RefStar_3C66A_bkg_fk5.reg|C2|2:22:30.795|+43:03:15.28|35.6283125|43.05424444444444|13.581|0.009000000000000001|1|recommend
5|0219+428|3C66A|02:22:39.6|+43:02:08|0.444|RefStar_3C66A_bkg_fk5.reg|bkg|2:22:42.261|+43:02:52.77|35.676087499999994|43.04799166666667|-9999.0|-9999.0|-1|background
6|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.94|RefStar_AO0235+16_bkg_fk5.reg|AO0235+16|2:38:38.900|+16:36:59.00|39.66208333333333|16.616388888888892|-9999.0|-9999.0|0|star
7|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.94|RefStar_AO0235+16_bkg_fk5.reg|1|2:38:36.687|+16:36:27.33|39.65286249999999|16.607591666666668|12.69|0.02|1|recommend
8|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.94|RefStar_AO0235+16_bkg_fk5.reg|2|2:38:32.270|+16:36:01.78|39.63445833333333|16.600494444444447|12.23|0.02|1|recommend
9|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.94|RefStar_AO0235+16_bkg_fk5.reg|3|2:38:29.568|+16:36:46.33|39.6232|16.612869444444446|12.48|0.03|1|recommend
10|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.94|RefStar_AO0235+16_bkg_fk5.reg|bkg|2:38:34.837|+16:37:26.65|39.64515416666666|16.624069444444444|-9999.0|-9999.0|-1|background
11|0716+714|S5_0716+71|07:21:53.4|+71:20:36|0.3|RefStar_S5_0716+71_bkg_fk5.reg|S5_0716+71|7:21:53.400|+71:20:36.00|110.47249999999998|71.34333333333333|-9999.0|-9999.0|0|star
12|0716+714|S5_0716+71|07:21:53.4|+71:20:36|0.3|RefStar_S5_0716+71_bkg_fk5.reg|2|7:21:33.118|+71:19:20.22|110.38799166666665|71.32228333333333|11.12|0.01|1|recommend
13|0716+714|S5_0716+71|07:21:53.4|+71:20:36|0.3|RefStar_S5_0716+71_bkg_fk5.reg|3|7:21:52.073|+71:18:16.40|110.4669708333333|71.30455555555555|12.06|0.01|1|recommend
14|0716+714|S5_0716+71|07:21:53.4|+71:20:36|0.3|RefStar_S5_0716+71_bkg_fk5.reg|5|7:21:53.978|+71:19:19.38|110.47490833333332|71.32204999999999|13.18|0.01|1|recommend
15|0716+714|S5_0716+71|07:21:53.4|+71:20:36|0.3|RefStar_S5_0716+71_bkg_fk5.reg|6|7:22:12.569|+71:21:14.25|110.55237083333331|71.35395833333332|13.26|0.01|1|recommend
16|0716+714|S5_0716+71|07:21:53.4|+71:20:36|0.3|RefStar_S5_0716+71_bkg_fk5.reg|bkg|7:21:45.541|+71:19:57.30|110.43975416666665|71.33258333333333|-9999.0|-9999.0|-1|background
17|0735+178|PKS0735+17|07:38:07.4|+17:42:19|0.424|RefStar_PKS0735+17_bkg_fk5.reg|PKS0735+17|7:38:07.400|+17:42:19.00|114.53083333333332|17.705277777777777|-9999.0|-9999.0|0|star
18|0735+178|PKS0735+17|07:38:07.4|+17:42:19|0.424|RefStar_PKS0735+17_bkg_fk5.reg|C|7:38:02.495|+17:41:21.37|114.51039583333332|17.689269444444445|13.85|0.04|1|recommend
19|0735+178|PKS0735+17|07:38:07.4|+17:42:19|0.424|RefStar_PKS0735+17_bkg_fk5.reg|D|7:38:08.241|+17:44:59.65|114.53433749999998|17.74990277777778|15.49|0.05|1|recommend
20|0735+178|PKS0735+17|07:38:07.4|+17:42:19|0.424|RefStar_PKS0735+17_bkg_fk5.reg|A|7:38:23.251|+17:42:42.49|114.59687916666665|17.711802777777777|13.1|0.05|1|recommend
21|0735+178|PKS0735+17|07:38:07.4|+17:42:19|0.424|RefStar_PKS0735+17_bkg_fk5.reg|bkg|7:38:10.435|+17:43:02.47|114.54347916666664|17.717352777777776|-9999.0|-9999.0|-1|background
22|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|OJ248|8:30:52.100|+24:11:00.00|127.71708333333332|24.183333333333334|-9999.0|-9999.0|0|star
23|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|1|8:30:57.794|+24:09:06.59|127.74080833333332|24.151830555555556|13.76|0.02|1|recommend
24|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|2|8:30:50.094|+24:10:24.58|127.708725|24.173494444444447|14.46|0.03|1|recommend
25|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|3|8:30:57.078|+24:08:46.92|127.73782499999999|24.146366666666665|14.32|0.02|1|recommend
26|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|4|8:30:46.416|+24:12:45.57|127.69339999999997|24.212658333333334|15.18|0.03|1|recommend
27|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|5|8:30:53.539|+24:10:38.42|127.72307916666664|24.17733888888889|16.4|0.02|1|recommend
28|0827+243|OJ248|08:30:52.1|+24:11:00|0.9390000000000001|RefStar_OJ248_bkg_fk5.reg|bkg|8:30:50.041|+24:11:43.27|127.70850416666664|24.195352777777778|-9999.0|-9999.0|-1|background
29|0829+046|OJ49|08:31:48.9|+04:29:39|0.173683|RefStar_OJ49_bkg_fk5.reg|OJ49|8:31:48.900|+4:29:39.00|127.95375|4.494166666666667|-9999.0|-9999.0|0|star
30|0829+046|OJ49|08:31:48.9|+04:29:39|0.173683|RefStar_OJ49_bkg_fk5.reg|C2|8:32:00.618|+4:32:01.34|128.00257499999998|4.533705555555556|13.27|0.06|1|recommend
31|0829+046|OJ49|08:31:48.9|+04:29:39|0.173683|RefStar_OJ49_bkg_fk5.reg|C3|8:31:54.419|+4:30:42.05|127.97674583333333|4.5116805555555555|13.23|0.05|1|recommend
32|0829+046|OJ49|08:31:48.9|+04:29:39|0.173683|RefStar_OJ49_bkg_fk5.reg|bkg|8:31:51.616|+4:30:35.86|127.96506666666666|4.509961111111111|-9999.0|-9999.0|-1|background
33|0836+710|4C71-07|08:41:24.3|+70:53:42|2.1719999999999997|RefStar_4C71-07_bkg_fk5.reg|4C71.07|8:41:24.300|+70:53:42.00|130.35125|70.89500000000001|-9999.0|-9999.0|0|star
34|0836+710|4C71-07|08:41:24.3|+70:53:42|2.1719999999999997|RefStar_4C71-07_bkg_fk5.reg|B|8:41:00.957|+70:55:00.11|130.2539875|70.91669722222223|14.85|0.05|1|recommend
35|0836+710|4C71-07|08:41:24.3|+70:53:42|2.1719999999999997|RefStar_4C71-07_bkg_fk5.reg|C|8:41:42.513|+70:51:07.97|130.42713750000001|70.85221388888888|13.53|0.05|1|recommend
36|0836+710|4C71-07|08:41:24.3|+70:53:42|2.1719999999999997|RefStar_4C71-07_bkg_fk5.reg|bkg|8:41:30.797|+70:52:10.79|130.3783208333333|70.86966388888888|-9999.0|-9999.0|-1|background
37|0851+202|OJ287|08:54:48.9|+20:06:31|0.306|RefStar_OJ287_bkg_fk5.reg|OJ287|8:54:48.900|+20:06:31.00|133.70374999999999|20.108611111111113|-9999.0|-9999.0|0|star
38|0851+202|OJ287|08:54:48.9|+20:06:31|0.306|RefStar_OJ287_bkg_fk5.reg|4|8:54:53.405|+20:04:43.52|133.72252083333333|20.078755555555556|13.74|0.04|1|recommend
39|0851+202|OJ287|08:54:48.9|+20:06:31|0.306|RefStar_OJ287_bkg_fk5.reg|10|8:54:54.399|+20:06:13.15|133.72666249999997|20.10365277777778|14.34|0.05|1|recommend
40|0851+202|OJ287|08:54:48.9|+20:06:31|0.306|RefStar_OJ287_bkg_fk5.reg|11|8:54:55.073|+20:05:40.15|133.72947083333332|20.09448611111111|14.65|0.05|1|recommend
