|IAU_Name|ObjectName|RA_hhmmss|DEC_ddmmss|Redshift|RefStarregname|RefStarID|RefStarRA_hhmmss|RefStarDEC_ddmmss|RefStarRA_deg|RefStarDEC_deg|R_circle_as|R_inner_as|R_outer_as|Vmag|Vmag_err|Rmag|Rmag_err|NoteIdx|Note
0|0219+428|3C66A|02:22:39.6|+43:02:08|0.4440|RefStar_3C66A_annu_mod_fk5.reg|3C66A|2:22:39.600|+43:02:08.00|35.6650|43.0356|10|15|20|-9999.000|-9999.000|-9999.000|-9999.000|0|star
1|0219+428|3C66A|02:22:39.6|+43:02:08|0.4440|RefStar_3C66A_annu_mod_fk5.reg|A|2:22:43.949|+43:05:28.02|35.6831|43.0911|10|15|20|13.630|0.002|13.333|0.007|1|recommend
2|0219+428|3C66A|02:22:39.6|+43:02:08|0.4440|RefStar_3C66A_annu_mod_fk5.reg|B|2:22:45.101|+43:04:19.59|35.6879|43.0721|10|15|20|14.780|0.004|14.233|0.006|1|recommend
3|0219+428|3C66A|02:22:39.6|+43:02:08|0.4440|RefStar_3C66A_annu_mod_fk5.reg|C1|2:22:54.981|+43:03:13.25|35.7291|43.0537|13|20|25|12.809|0.002|12.700|0.008|1|recommend
4|0219+428|3C66A|02:22:39.6|+43:02:08|0.4440|RefStar_3C66A_annu_mod_fk5.reg|C2|2:22:30.795|+43:03:13.96|35.6283|43.0539|10|14|18|14.189|0.004|13.581|0.009|1|recommend
5|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|AO0235+16|2:38:38.900|+16:36:59.00|39.6621|16.6164|8|13|18|-9999.000|-9999.000|-9999.000|-9999.000|0|star
6|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|1|2:38:36.687|+16:36:26.38|39.6529|16.6073|15|20|25|13.030|0.030|12.690|0.020|1|recommend
7|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|2|2:38:32.204|+16:36:00.83|39.6342|16.6002|15|20|25|12.710|0.020|12.230|0.020|1|recommend
8|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|3|2:38:29.502|+16:36:44.43|39.6229|16.6123|15|20|25|12.920|0.020|12.480|0.030|1|recommend
9|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|8|2:38:39.827|+16:37:19.25|39.6659|16.6220|8|12|16|-9999.000|-9999.000|14.203|0.006|2|notRecommendButUse
10|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|9|2:38:45.924|+16:37:35.97|39.6913|16.6267|10|15|20|-9999.000|-9999.000|14.190|0.022|2|notRecommendButUse
11|0235+164|AO0235+16|02:38:38.9|+16:36:59|0.9400|RefStar_AO0235+16_annu_mod_fk5.reg|11|2:38:45.533|+16:38:43.88|39.6897|16.6455|10|15|20|-9999.000|-9999.000|13.589|0.013|2|notRecommendButUse
