ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
2159|2019-08-22|13:06:54|3C345-20190822@130653-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1033.4329|1011.4781|R_Astrodon_2018|2458718.0464583333|180.0|20.9352|3.6039|54.5554|1.2336
2160|2019-08-22|13:10:09|3C345-20190822@131008-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1032.8486|1014.1640|R_Astrodon_2018|2458718.0487152776|180.0|20.9527|3.4285|53.9529|1.2432
2161|2019-08-22|13:28:17|3C371-20190822@132810-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1042.8771|1043.9249|R_Astrodon_2018|2458718.0613078703|180.0|21.4930|3.1337|41.8780|1.4998
2162|2019-08-22|13:31:34|3C371-20190822@133133-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1042.3740|1044.3462|R_Astrodon_2018|2458718.063587963|180.0|21.4869|3.2449|41.7459|1.5038
2163|2019-08-22|13:00:16|4C38-41-20190822@130016-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1031.0772|1010.6941|R_Astrodon_2018|2458718.041851852|180.0|21.2746|3.0880|54.7827|1.2303
2164|2019-08-22|13:03:32|4C38-41-20190822@130331-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1030.6870|1013.5965|R_Astrodon_2018|2458718.0441203704|180.0|21.2307|3.3492|54.1556|1.2402
2165|2019-08-22|13:20:55|4C51-37-20190822@132047-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1052.8796|989.8913|R_Astrodon_2018|2458718.05619213|180.0|21.5944|3.1776|54.8642|1.2265
2166|2019-08-22|13:24:10|4C51-37-20190822@132410-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1051.8796|991.5051|R_Astrodon_2018|2458718.058449074|180.0|21.6054|2.8359|54.5054|1.2322
2167|2019-08-22|12:53:37|DA406-20190822@125330-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1111.3480|901.1046|R_Astrodon_2018|2458718.0372337964|180.0|21.4031|3.4545|52.4565|1.2692
2168|2019-08-22|12:56:53|DA406-20190822@125653-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1110.9640|904.4234|R_Astrodon_2018|2458718.0395023148|180.0|21.4063|3.3212|51.7821|1.2811
2169|2019-08-22|12:46:02|KS1510-08-20190822@124554-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1022.3489|1149.0898|R_Astrodon_2018|2458718.0319675924|180.0|21.1222|3.0568|27.4027|2.1966
2170|2019-08-22|12:49:17|KS1510-08-20190822@124917-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1023.4113|1149.9891|R_Astrodon_2018|2458718.034224537|180.0|21.0979|3.1773|26.7229|2.2490
2171|2019-08-22|13:13:29|Mkn501-20190822@131329-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1033.8175|1007.8404|R_Astrodon_2018|2458718.0510300924|180.0|21.4509|3.1807|55.3594|1.2214
2172|2019-08-22|13:16:45|Mkn501-20190822@131644-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1033.3436|1010.2462|R_Astrodon_2018|2458718.053298611|180.0|21.4448|3.3524|54.7562|1.2306
2173|2019-08-25|19:04:23|3C454-3-20190825@190422-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1034.3590|1000.6568|R_Astrodon_2018|2458721.2947106482|180.0|20.8712|2.7608|54.3157|1.2375
2174|2019-08-25|19:21:42|3C66A-20190825@192135-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1021.8536|1026.6896|R_Astrodon_2018|2458721.306736111|180.0|21.7351|2.4172|68.5621|1.0736
2175|2019-08-25|19:24:58|3C66A-20190825@192457-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1021.8037|1028.2516|R_Astrodon_2018|2458721.3090046295|180.0|21.7298|2.3851|68.8294|1.0717
2176|2019-08-25|18:57:33|CTA102-20190825@185725-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|972.1357|1031.3919|R_Astrodon_2018|2458721.289965278|180.0|21.1832|2.8366|49.4829|1.3230
2177|2019-08-25|19:00:48|CTA102-20190825@190047-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|972.8757|1034.1489|R_Astrodon_2018|2458721.2922222223|180.0|21.1897|2.9321|48.7456|1.3381
2178|2019-08-25|19:12:24|ES2344+514-20190825@191216-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1099.0518|967.4421|R_Astrodon_2018|2458721.300277778|180.0|21.7501|2.6069|55.4476|1.2180
2179|2019-08-25|19:15:53|ES2344+514-20190825@191553-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1098.4698|969.2086|R_Astrodon_2018|2458721.3026967593|180.0|21.7597|2.5420|55.0602|1.2239
2180|2019-08-25|18:49:51|L-Lacertae-20190825@184943-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1050.5533|888.3955|R_Astrodon_2018|2458721.2846180554|180.0|21.5010|2.9606|47.3855|1.3677
2181|2019-08-25|18:53:07|L-Lacertae-20190825@185307-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1050.5168|891.4766|R_Astrodon_2018|2458721.2868865742|180.0|21.4869|2.8395|46.7904|1.3813
2182|2019-08-26|13:56:08|3C345-20190826@135607-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1038.0619|1008.0526|R_Astrodon_2018|2458722.080648148|180.0|20.8494|4.9019|42.2364|1.4991
2183|2019-08-26|13:59:22|3C345-20190826@135921-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1037.6338|1012.5857|R_Astrodon_2018|2458722.0828935187|180.0|20.8709|4.7293|41.6146|1.5177
2184|2019-08-26|14:17:55|3C371-20190826@141748-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1048.0781|1046.6482|R_Astrodon_2018|2458722.095775463|180.0|21.4481|4.2296|38.4969|1.6108
2185|2019-08-26|14:21:10|3C371-20190826@142110-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1047.1562|1048.0121|R_Astrodon_2018|2458722.0980324075|180.0|21.4095|4.8376|38.2917|1.6182
2186|2019-08-26|14:41:57|3C454-3-20190826@144156-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.3536|1027.8756|R_Astrodon_2018|2458722.112465278|180.0|18.3679|4.7303|63.1031|1.1159
2187|2019-08-26|14:45:11|3C454-3-20190826@144510-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.2712|1027.3928|R_Astrodon_2018|2458722.114710648|180.0|20.2091|4.4385|63.8330|1.1090
2188|2019-08-26|13:49:21|4C38-41-20190826@134921-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1034.1028|1007.4594|R_Astrodon_2018|2458722.0759375|180.0|21.1211|4.8246|42.1280|1.5026
2189|2019-08-26|13:52:35|4C38-41-20190826@135235-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1033.6031|1011.7303|R_Astrodon_2018|2458722.0781828705|180.0|21.0934|5.4597|41.4906|1.5218
2190|2019-08-26|14:10:24|4C51-37-20190826@141016-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1066.3892|979.3659|R_Astrodon_2018|2458722.0905555557|180.0|21.5469|4.4328|46.6192|1.3831
2191|2019-08-26|14:13:38|4C51-37-20190826@141338-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1065.5104|981.8146|R_Astrodon_2018|2458722.092800926|180.0|21.5550|4.2199|46.1663|1.3938
2192|2019-08-26|14:34:50|CTA102-20190826@143443-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1073.9596|1012.7297|R_Astrodon_2018|2458722.107523148|180.0|21.1438|4.2936|64.3382|1.1045
2193|2019-08-26|14:38:19|CTA102-20190826@143819-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1073.1399|1013.2541|R_Astrodon_2018|2458722.10994213|180.0|21.0935|4.6612|65.0723|1.0980
