ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2020-03-01|19:36:29|3C273-20200301@193625-R_Astrodon_2018_calib.fits|3C273|12 29 06.70|+02 03 09.0|187.2779|2.0525|970.6975|1076.0686|R_Astrodon_2018|2458910.3170023146|180.0|21.1176|2.0252|55.6169|1.2177
2|2020-03-01|19:39:45|3C273-20200301@193945-R_Astrodon_2018_calib.fits|3C273|12 29 06.70|+02 03 09.0|187.2779|2.0525|971.8073|1077.1172|R_Astrodon_2018|2458910.3192708334|180.0|21.0870|2.1451|54.9939|1.2272
3|2020-03-01|19:43:51|3C279-20200301@194347-R_Astrodon_2018_calib.fits|3C279|12 56 11.10|-05 47 22.0|194.0462|-5.7894|1003.5345|1047.3772|R_Astrodon_2018|2458910.3221180555|180.0|21.1392|2.6250|53.2012|1.2545
4|2020-03-01|19:47:07|3C279-20200301@194707-R_Astrodon_2018_calib.fits|3C279|12 56 11.10|-05 47 22.0|194.0462|-5.7894|1006.2525|1047.1334|R_Astrodon_2018|2458910.324386574|180.0|21.1899|2.3188|52.7111|1.2629
5|2020-03-01|20:14:45|3C345-20200301@201444-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1017.9559|1034.3980|R_Astrodon_2018|2458910.343576389|180.0|20.8585|2.1936|62.5972|1.1217
6|2020-03-01|20:18:00|3C345-20200301@201800-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1017.6862|1035.5102|R_Astrodon_2018|2458910.345833333|180.0|20.8583|2.1956|63.1429|1.1163
7|2020-03-01|20:36:27|3C371-20200301@203623-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1008.6184|1113.9368|R_Astrodon_2018|2458910.3586458336|180.0|21.1958|2.3851|37.6128|1.6266
8|2020-03-01|19:22:06|4C29-45-20200301@192202-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1001.9679|1000.2237|R_Astrodon_2018|2458910.307013889|180.0|21.2942|2.2372|61.2174|1.1456
9|2020-03-01|19:25:22|4C29-45-20200301@192522-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1003.0194|1001.1476|R_Astrodon_2018|2458910.3092824076|180.0|21.2872|2.2123|60.5045|1.1538
10|2020-03-01|20:07:58|4C38-41-20200301@200758-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1019.5537|1030.2131|R_Astrodon_2018|2458910.3388657407|180.0|21.0921|2.2901|63.5290|1.1125
11|2020-03-01|20:11:14|4C38-41-20200301@201113-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1019.7276|1031.0627|R_Astrodon_2018|2458910.3411342595|180.0|21.1201|2.1634|64.1044|1.1071
12|2020-03-01|20:28:57|4C51-37-20200301@202853-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1010.8321|1070.1911|R_Astrodon_2018|2458910.3534375|180.0|21.3926|2.2810|49.8225|1.3008
13|2020-03-01|20:32:13|4C51-37-20200301@203213-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1010.9410|1070.8144|R_Astrodon_2018|2458910.3557060184|180.0|21.4186|2.1886|50.2492|1.2928
14|2020-03-01|19:00:10|4C71-07-20200301@190005-R_Astrodon_2018_calib.fits|4C71-07|08 41 24.30|+70 53 42.0|130.3512|70.8950|1075.4206|1084.1819|R_Astrodon_2018|2458910.2917824076|180.0|21.2500|2.4768|26.8046|2.2141
15|2020-03-01|19:03:28|4C71-07-20200301@190328-R_Astrodon_2018_calib.fits|4C71-07|08 41 24.30|+70 53 42.0|130.3512|70.8950|1075.7363|1084.6950|R_Astrodon_2018|2458910.294074074|180.0|21.2125|2.6654|26.5349|2.2351
16|2020-03-01|20:01:06|DA406-20200301@200101-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|968.8656|1010.2318|R_Astrodon_2018|2458910.3340972224|180.0|21.2037|2.3188|67.8637|1.0758
17|2020-03-01|20:04:22|DA406-20200301@200422-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|968.7923|1011.5493|R_Astrodon_2018|2458910.3363657407|180.0|21.2804|2.2723|68.4836|1.0712
18|2020-03-01|19:53:21|KS1510-08-20200301@195317-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1020.3007|1023.4197|R_Astrodon_2018|2458910.328715278|180.0|20.5027|2.8769|56.2829|1.2009
19|2020-03-01|19:56:37|KS1510-08-20200301@195636-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1018.3433|1026.1523|R_Astrodon_2018|2458910.330983796|180.0|21.0951|2.4049|56.4812|1.1983
20|2020-03-01|19:14:42|Mkn421-20200301@191438-R_Astrodon_2018_calib.fits|Mkn421|11 04 27.30|+38 12 32.0|166.1137|38.2089|1022.8508|898.9536|R_Astrodon_2018|2458910.301875|180.0|21.1951|3.6043|50.2885|1.3066
21|2020-03-01|19:17:58|Mkn421-20200301@191758-R_Astrodon_2018_calib.fits|Mkn421|11 04 27.30|+38 12 32.0|166.1137|38.2089|1024.2783|900.5901|R_Astrodon_2018|2458910.3041435187|180.0|21.2224|3.4112|49.6523|1.3191
22|2020-03-01|20:21:32|Mkn501-20200301@202131-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1019.0190|1034.1304|R_Astrodon_2018|2458910.348287037|180.0|21.3066|2.4100|61.9276|1.1284
23|2020-03-01|20:24:47|Mkn501-20200301@202446-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1018.8046|1035.0218|R_Astrodon_2018|2458910.3505439814|180.0|21.2743|2.2568|62.4813|1.1228
24|2020-03-01|18:45:39|OJ248-20200301@184535-R_Astrodon_2018_calib.fits|OJ248|08 30 52.10|+24 11 00.0|127.7171|24.1833|1094.0174|1174.6356|R_Astrodon_2018|2458910.281701389|180.0|20.4720|3.0242|22.6657|2.6237
25|2020-03-01|18:48:55|OJ248-20200301@184855-R_Astrodon_2018_calib.fits|OJ248|08 30 52.10|+24 11 00.0|127.7171|24.1833|1095.4678|1174.9115|R_Astrodon_2018|2458910.2839699076|180.0|20.5383|2.7253|21.9502|2.7063
26|2020-03-01|18:52:28|OJ287-20200301@185227-R_Astrodon_2018_calib.fits|OJ287|08 54 48.90|+20 06 31.0|133.7037|20.1086|1015.2807|1000.8861|R_Astrodon_2018|2458910.286435185|180.0|21.2235|3.0519|25.2750|2.3706
27|2020-03-01|18:55:43|OJ287-20200301@185542-R_Astrodon_2018_calib.fits|OJ287|08 54 48.90|+20 06 31.0|133.7037|20.1086|1016.9297|1001.7169|R_Astrodon_2018|2458910.28869213|180.0|21.2140|2.7293|24.5446|2.4383
28|2020-03-01|19:28:56|ON231-20200301@192856-R_Astrodon_2018_calib.fits|ON231|12 21 31.70|+28 13 59.0|185.3821|28.2331|1016.6550|1018.3107|R_Astrodon_2018|2458910.311759259|180.0|21.2029|2.2529|64.6037|1.1109
29|2020-03-01|19:32:12|ON231-20200301@193212-R_Astrodon_2018_calib.fits|ON231|12 21 31.70|+28 13 59.0|185.3821|28.2331|1017.3945|1018.8541|R_Astrodon_2018|2458910.314027778|180.0|21.1812|2.4394|63.8842|1.1179
30|2020-03-01|17:21:23|S0735+17-20200301@172118-R_Astrodon_2018_calib.fits|S0735+17|07 38 07.40|+17 42 19.0|114.5308|17.7053|1151.7397|1030.2268|R_Astrodon_2018|2458910.2231828705|180.0|21.2838|2.4334|27.8583|2.1646
31|2020-03-01|17:24:39|S0735+17-20200301@172439-R_Astrodon_2018_calib.fits|S0735+17|07 38 07.40|+17 42 19.0|114.5308|17.7053|1152.9343|1031.8318|R_Astrodon_2018|2458910.225451389|180.0|21.2642|2.6176|27.1153|2.2206
32|2020-03-01|19:07:07|S4_0954+65-20200301@190706-R_Astrodon_2018_calib.fits|S4_0954+65|09 58 47.20|+65 33 55.0|149.6967|65.5653|1069.0070|1017.9822|R_Astrodon_2018|2458910.2966087963|180.0|20.7679|2.3771|34.3077|1.7754
33|2020-03-01|19:10:22|S4_0954+65-20200301@191022-R_Astrodon_2018_calib.fits|S4_0954+65|09 58 47.20|+65 33 55.0|149.6967|65.5653|1069.0011|1018.6141|R_Astrodon_2018|2458910.2988657407|180.0|20.7973|2.2930|33.9895|1.7903
34|2020-03-01|17:29:08|S5_0716+71-20200301@172903-R_Astrodon_2018_calib.fits|S5_0716+71|07 21 53.40|+71 20 36.0|110.4725|71.3433|1085.2368|1085.3552|R_Astrodon_2018|2458910.2285648147|180.0|21.3249|2.5088|27.6947|2.1473
