ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2019-11-02|11:49:15|3C371-20191102@114909-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1007.6355|984.4836|R_Astrodon_2018|2458789.992534722|180.0|21.3920|3.4999|29.5125|2.0412
2|2019-11-02|11:52:30|3C371-20191102@115230-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1015.5348|983.4857|R_Astrodon_2018|2458789.9947916665|180.0|21.3642|3.8142|29.2376|2.0588
3|2019-11-02|12:12:34|3C454-3-20191102@121234-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1021.9380|1054.2419|R_Astrodon_2018|2458790.008726852|180.0|20.8159|3.7254|82.4400|1.0088
4|2019-11-02|12:15:49|3C454-3-20191102@121548-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1023.1232|1050.6751|R_Astrodon_2018|2458790.0109837963|180.0|20.8084|3.7932|82.2133|1.0095
5|2019-11-02|16:02:24|3C454-3-20191102@160219-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1003.5679|947.6003|R_Astrodon_2018|2458790.1683333335|180.0|20.8693|2.2454|33.7997|1.8154
6|2019-11-02|16:05:39|3C454-3-20191102@160538-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1003.9978|949.9028|R_Astrodon_2018|2458790.1705902778|180.0|20.8790|2.2494|33.0546|1.8520
7|2019-11-02|16:25:17|3C66A-20191102@162511-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1013.3190|950.6688|R_Astrodon_2018|2458790.184224537|180.0|21.7434|2.4497|67.6038|1.0835
8|2019-11-02|16:28:33|3C66A-20191102@162832-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1013.7773|951.4128|R_Astrodon_2018|2458790.1864930554|180.0|21.7303|2.2393|67.2675|1.0863
9|2019-11-02|11:41:42|4C51-37-20191102@114135-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1026.6339|1024.6937|R_Astrodon_2018|2458789.9872916667|180.0|21.4406|3.7060|28.8635|2.0911
10|2019-11-02|11:44:57|4C51-37-20191102@114456-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1035.0685|1024.2449|R_Astrodon_2018|2458789.989548611|180.0|21.4120|4.0320|28.3644|2.1253
11|2019-11-02|12:05:41|CTA102-20191102@120534-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.7394|1009.3168|R_Astrodon_2018|2458790.0039467593|180.0|21.1867|3.3666|77.1018|1.0264
12|2019-11-02|12:08:57|CTA102-20191102@120856-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1025.0613|1006.4842|R_Astrodon_2018|2458790.0062152776|180.0|21.1835|3.4609|76.7600|1.0279
13|2019-11-02|16:17:33|ES2344+514-20191102@161726-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1056.4129|944.1874|R_Astrodon_2018|2458790.1788541665|180.0|21.7517|2.3274|42.5966|1.4857
14|2019-11-02|16:20:49|ES2344+514-20191102@162049-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1055.9670|946.5802|R_Astrodon_2018|2458790.1811226853|180.0|21.7484|2.2300|42.1101|1.4998
15|2019-11-02|16:09:59|L-Lacertae-20191102@160953-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1040.9103|1088.2726|R_Astrodon_2018|2458790.173599537|180.0|21.4721|2.4350|26.8177|2.2369
16|2019-11-02|16:13:14|L-Lacertae-20191102@161313-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1040.8552|1089.5873|R_Astrodon_2018|2458790.1758564813|180.0|21.4678|2.2080|26.2216|2.2846
17|2019-11-02|21:11:50|PKS0735+17-20191102@211145-R_Astrodon_2018_calib.fits|PKS0735+17|07 38 07.40|+17 42 19.0|114.5308|17.7053|1024.1428|1023.0692|R_Astrodon_2018|2458790.3832175927|180.0|21.6269|2.6167|81.8533|1.0111
18|2019-11-02|21:15:06|PKS0735+17-20191102@211505-R_Astrodon_2018_calib.fits|PKS0735+17|07 38 07.40|+17 42 19.0|114.5308|17.7053|1025.2753|1022.3487|R_Astrodon_2018|2458790.385486111|180.0|21.5997|2.6406|81.2951|1.0127
19|2019-11-02|11:57:56|PKS2155-304-20191102@115750-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1026.0583|1024.7087|R_Astrodon_2018|2458789.9985648147|180.0|21.2865|2.9705|35.0607|1.7374
