,RAJ2000,DEJ2000,RA(hhmmss),DEC(ddmmss),Vmag,rmag,dxy_deg
0,250.7450674,39.8102973,16h42m58.8162s,+39d48m37.0703s,,,7.017034394090856e-05
1,250.7502324,39.821677,16h43m00.0558s,+39d49m18.0372s,,,0.01254273801974238
2,250.7203253,39.809345,16h42m52.8781s,+39d48m33.642s,15.292,14.708,0.024692324606433835
3,250.7285259,39.8335003,16h42m54.8462s,+39d50m00.6011s,15.304,14.963,0.028472469319847146
4,250.711803,39.8334373,16h42m50.8327s,+39d50m00.3743s,,,0.0404772069016329
5,250.7904686,39.8083145,16h43m09.7125s,+39d48m29.9322s,15.749,15.574,0.04551096621252087
6,250.7053433,39.7773495,16h42m49.2824s,+39d46m38.4582s,15.477,15.344,0.0515453715894651
7,250.7521183,39.7575575,16h43m00.5084s,+39d45m27.207s,13.809,13.846,0.05319866430520499
8,250.7608612,39.7442892,16h43m02.6067s,+39d44m39.4411s,15.675,15.099,0.06786803417350872
9,250.7702971,39.7436445,16h43m04.8713s,+39d44m37.1202s,15.905,15.645,0.07127367659819041
10,250.8207636,39.787985,16h43m16.9833s,+39d47m16.746s,16.188,15.726,0.0789752557831659
11,250.7371133,39.72537,16h42m56.9072s,+39d43m31.332s,12.706,12.436,0.08527327109974775
12,250.7393524,39.7244437,16h42m57.4446s,+39d43m27.9973s,,,0.08601967387593278
13,250.7826871,39.8877537,16h43m07.8449s,+39d53m15.9133s,,,0.08615588215900664
14,250.8158348,39.7474506,16h43m15.8004s,+39d44m50.8222s,15.879,15.268,0.09468275005812485
15,250.8006242,39.7291123,16h43m12.1498s,+39d43m44.8043s,15.515,15.192,0.09839657721964169
16,250.8464595,39.8064384,16h43m23.1503s,+39d48m23.1782s,14.697,14.335,0.10153211788386453
17,250.6574406,39.8704731,16h42m37.7857s,+39d52m13.7032s,14.974,14.726,0.1062550015095138
18,250.84909,39.7850775,16h43m23.7816s,+39d47m06.279s,16.344,,0.10709706858773609
19,250.6610709,39.8792248,16h42m38.657s,+39d52m45.2093s,13.648,13.537,0.10861761229244793
20,250.8436239,39.8621406,16h43m22.4697s,+39d51m43.7062s,11.866,11.527,0.11142901767526862
21,250.8252762,39.888837,16h43m18.0663s,+39d53m19.8132s,15.496,15.066,0.11232016596589707
22,250.6288415,39.8471192,16h42m30.922s,+39d50m49.6291s,14.218,14.017,0.12186093514164069
23,250.8707948,39.7930542,16h43m28.9908s,+39d47m34.9951s,15.892,15.619,0.12696843441785138
24,250.8751377,39.8105059,16h43m30.033s,+39d48m37.8212s,15.764,15.58,0.13013789994100336
