,Star,RA_hhmmss,DEC_ddmmss,V,B-V,U-B,V-R,R-I,V-I,n,m,e_V,e_B-V,e_U-B,e_V-R,e_R-I,e_V-I,RA_deg,DEC_deg,R,dxy_deg
0,SA 38-310,18 50 48.873,+45 08 43.50,10.489,1.2590000000000001,1.4069999999999998,0.6509999999999999,+0.555,+1.212,11,6,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,282.70363749999996,45.14541666666667,9.838000000000001,69.60283841235444
1,GD 251,23 34 20.865,+29 18 36.99,15.745,-0.182,-1.003,-0.068,-0.171,-0.236,2,1,0.0198,0.0205,0.0071,0.0085,0.0424,0.0325,353.5869375,29.310275,15.812999999999999,71.43784348655103
2,GD 405A,23 16 44.966,+47 26 59.90,15.615,1.063,1.3259999999999998,0.6629999999999999,+0.579,+1.243,1,1, ... , ... , ... , ... , ... , ... ,349.1873583333333,47.44997222222222,14.952,71.4903212422394
3,SA 41-204,21 54 31.607,+45 13 51.39,10.972999999999999,1.743,2.064,1.075,+1.163,+2.242,17,8,0.0033,0.0016,0.0075,0.0012,0.0011,0.0020,328.63169583333325,45.230941666666666,9.898,71.49781592557028
4,GD 405,23 16 43.875,+47 27 15.57,16.750999999999998,-0.166,-0.8109999999999999,-0.517, ... , ... ,2,1,0.0071,0.0057,0.0170,0.0071, ... , ... ,349.18281249999995,47.454325000000004,17.267999999999997,71.50815839620893
5,SA 41-190,21 54 18.195,+45 15 22.57,10.367,0.289,0.07400000000000001,0.165,+0.166,+0.332,17,8,0.0012,0.0008,0.0009,0.0004,0.0004,0.0010,328.5758124999999,45.25626944444444,10.202000000000002,71.5249407383002
6,SA 41-179,21 54 10.448,+45 16 31.11,11.868,0.498,0.177,0.29100000000000004,+0.296,+0.586,9,4,0.0017,0.0014,0.0029,0.0011,0.0019,0.0004,328.54353333333324,45.275308333333335,11.577,71.64651812788905
7,SA 41-182,21 54 12.587,+45 14 36.50,9.969,0.307,0.159,0.182,+0.197,+0.381,15,8,0.0009,0.0011,0.0007,0.0006,0.0010,0.0012,328.55244583333325,45.24347222222222,9.786999999999999,71.64989272827434
8,SA 41-639,21 53 33.743,+45 34 20.95,14.13,1.32,1.045,0.754,+0.716,+1.472,17,8,0.0006,0.0015,0.0118,0.0027,0.0017,0.0032,328.3905958333333,45.57248611111111,13.376000000000001,71.67270915818128
9,GD 391,20 29 56.177,+39 13 32.19,13.378,-0.151,-0.972,-0.12,-0.136,-0.256,27,13,0.0005,0.0011,0.0017,0.0009,0.0018,0.0018,307.4840708333333,39.225608333333334,13.498,71.68334980414366
10,SA 41-674,21 54 07.517,+45 32 07.05,14.56,1.051,0.831,0.664,+0.595,+1.260,9,4,0.0030,0.0033,0.0101,0.0052,0.0011,0.0065,328.5313208333333,45.535291666666666,13.896,71.6845228067869
11,SA 41-631,21 53 24.561,+45 35 45.09,13.39,0.24600000000000002,-0.106,0.16699999999999998,+0.196,+0.374,27,12,0.0014,0.0010,0.0018,0.0009,0.0011,0.0013,328.3523374999999,45.59585833333333,13.223,71.70494287865847
12,SA 41-638,21 53 32.591,+45 37 00.50,14.045,0.736,0.131,0.436,+0.461,+0.894,2,1,0.0021,0.0049,0.0304,0.0064,0.0177,0.0113,328.38579583333325,45.61680555555556,13.609,71.71341099067764
13,SA 41-660,21 53 56.878,+45 32 23.66,12.804,0.225,0.081,0.147,+0.169,+0.319,25,11,0.0015,0.0014,0.0015,0.0005,0.0012,0.0015,328.4869916666666,45.539905555555556,12.657,71.73079181935958
14,SA 41-673,21 54 07.165,+45 32 38.06,14.097999999999999,0.235,-0.198,0.155,+0.180,+0.334,33,15,0.0014,0.0018,0.0023,0.0019,0.0031,0.0019,328.5298541666666,45.543905555555554,13.943,71.73196467139354
15,SA 41-637,21 53 30.416,+45 36 11.04,14.425999999999998,1.199,0.8,0.69,+0.673,+1.360,20,10,0.0013,0.0012,0.0103,0.0015,0.0025,0.0034,328.3767333333333,45.60306666666667,13.735999999999999,71.75284905808863
16,SA 41-171,21 54 04.972,+45 13 13.57,11.144,0.315,0.185,0.18100000000000002,+0.206,+0.388,14,7,0.0018,0.0017,0.0006,0.0013,0.0010,0.0011,328.5207166666666,45.22043611111111,10.963000000000001,71.75763903702556
17,SA 41-634,21 53 27.209,+45 35 40.95,13.164000000000001,0.738,0.217,0.44799999999999995,+0.455,+0.902,14,7,0.0006,0.0015,0.0019,0.0010,0.0026,0.0025,328.3633708333333,45.59470833333334,12.716000000000001,71.7590833470269
18,SA 41-625,21 53 17.295,+45 35 14.74,14.205,0.8759999999999999,0.373,0.496,+0.509,+1.006,2,1,0.0071,0.0156,0.0212,0.0071,0.0064,0.0014,328.32206249999996,45.58742777777778,13.709,71.76920584509794
19,GD 391D,20 29 54.035,+39 13 43.44,15.012,0.9940000000000001,0.48100000000000004,0.57,+0.549,+1.125,14,7,0.0045,0.0025,0.0097,0.0033,0.0057,0.0066,307.4751458333333,39.22873333333334,14.442,71.79868541303956
20,SA 41-654,21 53 52.663,+45 33 07.25,10.038,0.619,0.207,0.344,+0.312,+0.658,13,6,0.0003,0.0008,0.0023,0.0004,0.0007,0.0008,328.4694291666666,45.55201388888889,9.694,71.80620565612246
21,GD 391B,20 29 51.196,+39 14 20.33,12.71,0.58,0.2,0.344,+0.352,+0.696,16,9,0.0004,0.0015,0.0028,0.0007,0.0015,0.0012,307.4633166666667,39.23898055555556,12.366000000000001,71.8226110747493
22,GD 391C,20 30 02.922,+39 15 03.75,11.463,0.76,0.608,0.44799999999999995,+0.497,+0.937,12,6,0.0012,0.0009,0.0037,0.0010,0.0008,0.0007,307.51217499999996,39.251041666666666,11.014999999999999,71.82726598144703
