ra,dec
250.52875212,39.85858603
250.60416434,39.85131614
250.82524944,39.88884032
250.87268866,39.86569867
250.62885981,39.84714578
250.9462059,39.72399987
250.81590297,39.74741441
250.86280950000003,39.7583507
250.90812152,39.91736897
250.50815844,39.81330814
250.49327377,39.79550307
250.715352,39.62835248
250.71552519,39.62743844
250.71590626,39.62815614
250.71597014,39.62858837
250.71607997,39.62720208
250.71657993,39.62827282
250.67722765,39.95162226
250.83083859,39.92859468
250.61415009,39.67298153
250.72340242,39.98211118
250.90429428,39.84769328
250.79723502,39.92193752
250.82072057,39.78799875
250.87078004,39.79302091
250.64649362,39.98857052
250.64852014,39.98945813
250.73221159,39.65353465
250.75020664,39.64983726
250.65746434,39.87042792
250.90869967,39.91791511
250.90904500000002,39.917561
250.90903558,39.917537100000004
250.90945589,39.91715915
250.78106919,39.97380395
250.73931536,39.72447437
250.96189411,39.75507543
250.57816206,39.91258602
250.57843531,39.91211884
250.57843275,39.91205885
250.94741961,39.83632225
250.94806719,39.83673888
250.94799308,39.83611835
250.94817833,39.83638751
250.94849717,39.83661168
250.94868822,39.83577587
250.94883341,39.83698877
250.9249933,39.71522587
250.70279468,39.98644701
250.57485244,39.8553777
250.78253566,39.88778259
250.7905136,39.80833467
250.84363277,39.86225103
250.84356796,39.86217116
250.80430747,39.93092686
250.70236086,39.65600627
250.59659603,39.69744779999999
250.87507666,39.81048065
250.66099876,39.87920873
250.84157637,39.97240829
250.65214832,39.69058938
250.53467462,39.72717873
250.58968645,39.67363593
250.75319314,39.66725756
250.84159188,39.97246519
250.80062301,39.72914546
250.81032293,39.90500808
250.81425181,39.63472125
250.62378991,39.76397899
250.75363754,39.64559169
250.74661619,39.91630158
250.77612779,40.00394169
