ra,dec
250.479370,39.906194
250.945040,39.852491
250.945040,39.852491
250.572110,39.807720
250.522430,39.896828
250.522430,39.896828
250.671412,39.846222
250.495746,39.637388
250.495746,39.637388
250.459335,39.898775
250.971807,39.817448
250.971807,39.817448
250.643485,39.659022
250.648089,39.716029
250.503236,39.865791
250.531890,39.746636
250.854624,40.020431
250.788134,39.977771
250.650953,39.718212
250.774420,39.868832
250.940324,39.772122
250.899237,39.862938
250.594759,39.599743
250.828366,39.895552
250.788058,39.977710
250.788058,39.977710
250.732884,39.732595
251.012266,39.672319
250.697624,39.835816
250.598083,39.712579
250.598083,39.712579
250.957835,39.975986
250.820717,39.663549
250.622644,39.913280
250.656515,39.694507
250.855135,39.884012
250.774420,39.868832
250.800831,39.788998
250.800831,39.788998
250.984274,39.745973
250.773444,39.965556
250.816109,40.003518
250.526458,39.602340
250.843017,39.738664
250.676998,39.929698
250.676998,39.929698
250.818017,39.957451
250.476097,39.694561
250.788749,39.920673
250.788749,39.920673
250.730271,39.603647
251.022619,39.833015
250.599772,40.025422
250.539058,39.890709
250.982254,39.743792
250.618545,39.805085
250.618545,39.805085
250.895857,39.928753
250.791981,39.776856
250.506690,39.644055
250.896439,39.929847
250.677074,39.929762
250.937296,39.982688
250.625530,39.982743
250.625530,39.982743
250.969646,39.910033
250.969646,39.910033
250.484882,39.787013
250.484882,39.787013
250.605245,39.645987
250.686175,39.831912
250.504130,40.029397
250.760200,39.954649
250.492788,39.900684
250.842232,39.627341
250.842232,39.627341
250.501225,39.940582
250.743455,40.013059
250.564469,39.884722
250.463129,39.740642
250.561986,39.981618
250.561986,39.981618
250.691987,39.991281
250.691987,39.991281
250.825643,39.809592
250.946321,39.856964
250.625598,39.982575
250.740964,39.945301
250.976177,39.600613
250.691484,39.991117
250.759170,39.790068
250.759170,39.790068
250.601957,39.782632
250.705315,39.746743
250.645363,39.935795
250.732537,39.845546
250.741048,39.967391
250.741048,39.967391
250.880184,40.028191
250.699675,40.017842
251.010891,39.831337
250.598177,39.712681
250.563024,39.943722
250.706747,40.015134
250.706747,40.015134
250.568859,39.906641
250.941739,39.752700
250.941739,39.752700
250.989459,39.830159
250.562789,39.785948
250.562789,39.785948
251.016306,40.009391
250.650953,39.718212
250.779375,39.955440
250.599812,39.641837
250.878695,39.990915
250.646114,39.769111
251.022619,39.833015
250.531837,39.941827
250.529832,39.941174
250.744683,39.945285
250.459526,39.588445
250.832453,39.770958
250.630412,39.613229
250.971501,39.887735
250.636467,39.930561
250.945134,39.852584
250.907982,39.672518
250.779870,39.955373
250.779870,39.955373
250.878099,39.988286
250.534733,39.744436
250.454674,39.774213
250.860292,39.885301
250.967837,39.919998
250.979500,39.753021
250.979511,39.754117
250.618983,39.728746
250.618983,39.728746
250.654962,40.011207
250.705369,39.668884
250.975513,39.969736
250.800255,39.705538
250.986862,39.668097
250.859166,39.887280
250.520804,39.756312
250.473234,39.802831
250.473234,39.802831
250.906408,39.934321
250.906408,39.934321
250.969158,39.909681
250.645575,39.935952
250.645575,39.935952
250.979409,39.754223
250.979409,39.754223
250.846498,39.876819
250.670448,39.735689
250.795530,39.756662
250.899004,39.747796
250.745136,39.810182
250.650022,39.673362
250.650022,39.673362
250.725704,39.972340
250.952985,39.957738
250.952985,39.957738
250.723984,39.971908
250.724758,39.959623
250.497896,39.732677
250.740639,39.979735
250.823227,39.771120
250.823227,39.771120
250.760985,39.917290
250.760985,39.917290
250.484965,39.787095
250.782902,39.614032
250.782902,39.614032
250.557578,39.686916
250.877734,40.019155
250.877734,40.019155
250.817383,39.604788
250.596911,39.913360
250.763581,39.757027
250.946279,39.824724
250.967397,39.714057
250.846159,39.620520
250.846159,39.620520
250.644058,39.957512
250.805096,39.704857
250.951385,39.905184
250.606283,39.956098
250.929077,39.760125
250.623277,39.662379
250.732736,39.845461
250.732736,39.845461
250.650120,39.673255
250.695587,39.917849
250.800924,39.788876
250.975481,39.867440
250.975481,39.867440
250.638051,39.856865
250.929617,39.738513
250.929617,39.738513
250.805993,39.921322
250.872676,39.801235
250.522503,39.896671
250.760779,39.917143
250.856720,39.772369
250.559907,39.634713
250.790937,39.970301
250.992638,39.868647
250.981727,39.598240
250.981727,39.598240
250.992638,39.868647
250.679054,39.835009
250.591431,39.617298
250.674474,39.937604
250.674474,39.937604
250.656279,40.003478
250.656279,40.003478
250.844150,39.968506
250.628879,39.593276
250.971864,39.732233
250.562629,39.607072
250.839982,39.926125
250.839982,39.926125
250.656635,40.003525
250.606498,39.956042
250.606498,39.956042
250.867455,39.919038
250.641142,39.697849
250.454876,39.774349
250.454876,39.774349
250.929722,39.738847
250.644227,39.788198
250.741616,39.836954
250.692337,39.945934
250.906207,39.934398
250.674835,39.937665
250.825221,39.861354
250.634896,39.651375
250.891056,40.027035
250.770034,39.705019
250.561766,39.981447
251.010742,39.895161
250.733839,39.919820
250.733839,39.919820
250.928978,39.760234
250.928978,39.760234
250.987850,39.707130
250.742218,39.602500
250.618790,39.728627
250.994194,39.950756
250.746506,39.605113
250.733917,39.919670
250.555685,40.029493
250.517507,40.023628
250.517507,40.023628
250.864845,39.755658
250.872865,39.801134
250.872865,39.801134
250.626436,39.991295
250.626436,39.991295
250.601359,39.610250
250.576449,39.699804
250.679899,39.833032
250.553637,40.019849
251.011079,39.831234
251.011079,39.831234
250.658489,39.690991
251.011243,40.017539
250.456755,39.802062
250.918345,39.917880
250.908159,39.672610
250.908159,39.672610
250.823739,39.752578
250.659750,39.997812
250.454303,39.958611
250.454303,39.958611
250.936319,39.942339
250.497031,39.809220
250.941557,39.752814
250.591328,39.940572
251.011163,40.017474
251.011163,40.017474
250.637970,39.857009
250.637970,39.857009
250.462093,39.866531
250.971903,39.817330
