Table 3
U BV RI Photometry of Standard Stars at the Celestial Equator

	Mean Error of the Mean	
Star	alpha (J2000.0)	delta (J2000.0)	V	B - V	U - B	V - R	R - I	V - I	n	m	V	B - V	U - B	V - R	R - I	V - I	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	
SA 103-518	11 56 30.866	-00 32 37.58	11.190	+0.645	+0.045	+0.378	+0.371	+0.748	4	2	0.0050	0.0030	0.0030	0.0010	0.0010	0.0010	
SA 103-626	11 56 46.156	-00 23 14.70	11.820	+0.414	-0.057	+0.263	+0.274	+0.537	4	2	0.0030	0.0010	0.0045	0.0010	0.0005	0.0015	
SA 103-528	11 57 00.826	-00 26 01.45	11.776	+0.583	+0.014	+0.339	+0.336	+0.674	4	2	0.0040	0.0025	0.0045	0.0010	0.0025	0.0025	
SA 103-529	11 57 01.882	-00 26 58.96	12.227	+0.985	+0.807	+0.531	+0.473	+1.004	4	2	0.0045	0.0015	0.0055	0.0020	0.0015	0.0015	
SA 103-646	11 57 20.329	-00 21 00.92	12.444	+0.717	+0.219	+0.394	+0.373	+0.766	4	2	0.0020	0.0010	0.0020	0.0025	0.0015	0.0030	
SA 107-970	15 37 25.829	+00 18 33.85	10.926	+1.605	+1.799	+1.181	+1.458	+2.638	7	7	0.0053	0.0013	0.0055	0.0019	0.0021	0.0017	
SA 107-991	15 38 06.902	+00 16 19.31	12.094	+1.083	+0.813	+0.603	+0.563	+1.166	4	2	0.0020	0.0020	0.0040	0.0020	0.0030	0.0020	
SA 107-847	15 38 19.398	+00 08 04.90	10.245	+1.074	+0.830	+0.575	+0.526	+1.102	4	2	0.0005	0.0015	0.0010	0.0010	0.0020	0.0015	
SA 107-862	15 38 55.944	+00 09 48.13	11.212	+0.549	+0.060	+0.325	+0.315	+0.641	4	2	0.0005	0.0005	0.0020	0.0010	0.0005	0.0010	
SA 107-1014	15 38 59.016	+00 15 30.98	12.117	+0.545	+0.014	+0.334	+0.337	+0.671	4	2	0.0020	0.0030	0.0035	0.0030	0.0040	0.0035	
SA 107-871	15 39 16.189	+00 08 54.53	12.467	+0.656	+0.120	+0.383	+0.371	+0.755	4	2	0.0025	0.0025	0.0045	0.0025	0.0015	0.0020	
SA 108-870	16 37 45.814	-00 28 23.75	11.856	+1.218	+1.168	+0.679	+0.608	+1.288	4	2	0.0015	0.0015	0.0060	0.0005	0.0015	0.0005	
SA 108-872	16 37 49.759	-00 22 18.99	11.925	+0.840	+0.357	+0.479	+0.445	+0.923	4	4	0.0015	0.0020	0.0050	0.0010	0.0020	0.0015	
SA 108-570	16 38 04.824	-00 35 06.86	12.122	+0.531	+0.087	+0.321	+0.319	+0.640	4	2	0.0010	0.0020	0.0025	0.0015	0.0025	0.0015	

