Table 5
Accurate Coordinates and Proper Motions for the Standard Stars

Star Name	alpha (J2000.0)	delta (J2000.0)	UCAC4	2MASS-PSC	mu_alpha		mu_delta		
(mas yr^-1)	(mas yr^-1)	(mas yr^-1)	(mas yr^-1)	
GD 2B	00 07 25.484	+33 19 00.17	617-000374	J00072547+3319002	-9.6	2.5	-21.6	0.7	
GD 2A	00 07 26.174	+33 18 19.18	617-000376	J00072616+3318191	-17.3	3.5	-9.7	3.7	
GD 2	00 07 32.261	+33 17 27.62	617-000381	J00073225+3317275	-78.1	1.8	-66.7	2.1	
GD 2C	00 07 32.355	+33 20 14.69	617-000382	J00073235+3320147	-4.5	2.2	1.8	2.3	
GD 2E	00 07 36.675	+33 17 41.73	617-000386	J00073667+3317418	6.1	2.3	-0.2	2.5	
GD 2D	00 07 41.634	+33 17 57.33	617-000392	J00074163+3317573	-7.5	1.7	-5.9	1.9	
GD 410	00 35 24.704	+60 58 11.27	755-006666	J00352470+6058113	109.1	1.4	42.1	1.0	
GD 8C	00 39 37.145	+31 37 03.40	609-001876	J00393714+3137034	-5.9	1.7	-11.5	3.7	
GD 8A	00 39 40.965	+31 32 44.53	608-001920	J00394096+3132445	-3.6	4.2	-10.7	4.5	
GD 8B	00 39 44.863	+31 36 36.48	609-001882	J00394486+3136364	8.2	2.2	-13.3	2.7	
GD 8	00 39 52.163	+31 32 29.19	608-001929	J00395215+3132292	70.6	2.6	-56.6	3.0	
SA 20-245	00 44 21.182	+45 55 12.77	680-004291	J00442119+4555126	-44.8	0.6	28.4	0.5	
SA 20-130	00 44 44.437	+45 49 50.97	680-004329	J00444443+4549509	1.9	0.6	-5.1	0.6	
SA 20-133	00 44 49.522	+45 44 57.85	679-004203	J00444952+4544577	8.1	0.7	-6.4	0.7	
SA 20-139	00 45 13.834	+45 47 48.08	679-004228	J00451382+4547481	7.8	1.5	-9.7	0.6	
SA 20-39	00 45 34.099	+45 36 48.21	679-004251	J00453410+4536482	-11.8	0.6	-6.3	0.6	
SA 20-291	00 45 37.914	+45 56 54.86	680-004398	J00453791+4556548	66.6	0.9	8.4	0.5	
SA 20-43	00 45 42.450	+45 35 15.39	678-004237	J00454244+4535153	8.5	0.9	-7.4	0.7	
SA 20-297	00 45 51.821	+45 53 44.79	680-004410	J00455182+4553447	-2.1	0.7	-4.6	0.6	
SA 20-420	00 45 56.621	+46 04 33.36	681-004543	J00455661+4604332	4.4	0.8	1.7	0.6	
SA 20-163	00 45 59.779	+45 48 13.11	680-004419	J00455976+4548130	72.6	1.0	12.8	0.7	
SA 20-431	00 46 21.507	+46 06 30.24	681-004570	J00462151+4606302	-2.9	1.0	-5.1	0.6	
SA 20-435	00 46 25.267	+46 02 50.54	681-004577	J00462527+4602505	-1.1	0.9	-16.4	0.6	
SA 20-182	00 46 31.259	+45 50 25.68	680-004467	J00463125+4550256	-5.4	2.5	-1.1	1.9	
SA 20-186	00 46 34.507	+45 50 50.56	680-004474	J00463450+4550505	8.2	0.6	2.0	0.8	
SA 20-446	00 46 48.808	+46 10 50.01	681-004611	J00464880+4610499	-0.5	1.0	-7.1	0.7	
SA 20-338	00 47 08.418	+45 54 16.58	680-004524	J00470842+4554165	7.0	1.4	-1.4	1.2	
SA 20-208	00 47 10.514	+45 52 33.54	680-004530	J00471051+4552335	-11.6	0.7	14.5	0.6	
SA 20-340	00 47 11.482	+45 53 22.77	680-004532	J00471146+4553226	8.7	0.6	-12.0	0.5	
SA 20-456	00 47 12.443	+46 10 57.01	681-004648	J00471244+4610570	-6.6	0.6	-4.9	0.8	
SA 20-342	00 47 15.064	+45 54 09.59	680-004540	J00471506+4554095	-1.5	5.5	-6.1	5.4	
SA 20-343	00 47 15.351	+45 55 13.18	680-004541	J00471535+4555131	-8.8	2.7	-5.0	3.1	
SA 20-345	00 47 19.094	+45 53 29.19	680-004544	J00471909+4553292	7.2	2.9	-14.2	3.3	
SA 20-346	00 47 21.152	+45 53 42.01	680-004546	J00472114+4553421	-1.9	5.5	-6.4	5.5	
GD 273	01 06 20.426	+56 04 56.53	731-010368	J01062040+5604563	108.3	13.7	-37.8	10.2	
GD 10	01 06 53.995	+39 30 56.92	648-004226	J01065396+3930568	171.0	8.0	16.0	8.0	
GD 10A	01 06 58.606	+39 30 53.12	648-004232	J01065860+3930531	18.9	1.9	-8.3	2.2	
GD 10B	01 07 00.369	+39 31 35.07	648-004235	J01070037+3931350	-6.0	2.1	-2.1	2.5	
GD 10C	01 07 05.379	+39 31 28.37	648-004238	J01070537+3931283	2.2	5.4	-6.5	5.9	
GD 11	01 09 23.224	+37 32 45.78	638-004050	J01092318+3732458	157.0	8.0	-39.0	8.0	
GD 275	01 18 54.162	+52 27 13.59	713-010330	J01185423+5227137	-162.0	8.0	-30.0	8.0	
GD 275A	01 18 54.297	+52 27 49.99	713-010332	J01185430+5227499	4.5	3.1	3.7	3.0	
GD 418	01 23 24.123	+64 54 17.02	775-006965	J01232403+6454172	128.0	2.0	-60.0	3.0	
GD 276	01 23 50.663	+47 47 14.62	 ... 	J01235066+4747146	78.0	3.0	22.0	1.0	
GD 277	01 29 23.992	+51 08 46.99	706-010971	J01292398+5108471	33.9	1.5	-102.8	3.3	
GD 277A	01 29 28.971	+51 09 19.49	706-010981	J01292897+5109194	-2.7	2.5	-2.1	2.9	
GD 277B	01 29 29.917	+51 08 02.46	706-010983	J01292992+5108025	-6.4	2.6	-5.4	2.8	
GD 13A	01 29 40.762	+42 27 54.91	663-006350	J01294076+4227548	4.1	2.7	-5.1	2.8	
GD 13	01 29 42.654	+42 28 18.01	663-006352	J01294264+4228180	92.4	2.6	0.9	2.6	
GD 278	01 30 58.075	+53 21 39.40	717-012427	J01305806+5321397	66.0	3.0	-84.0	4.0	
GD 278A	01 30 58.464	+53 22 17.91	717-012428	J01305806+5321397	2.7	4.2	4.0	4.0	
GD 278B	01 31 06.659	+53 20 17.12	717-012445	J01310666+5320170	4.0	5.6	-11.1	5.0	
GD 421A	01 50 28.859	+67 44 10.59	789-005531	J01502885+6744105	-3.8	2.9	-0.8	3.1	
GD 421C	01 50 34.378	+67 41 53.09	789-005538	J01503435+6741530	-1.3	1.6	-8.9	1.7	
GD 421B	01 50 35.942	+67 43 57.79	789-005539	J01503591+6743577	-7.5	2.5	-30.6	2.8	
GD 421	01 51 10.260	+67 39 32.25	789-005554	J01511028+6739312	146.0	8.0	-2.0	8.0	
GD 421D	01 51 31.415	+67 42 39.05	789-005569	J01513141+6742389	11.4	4.2	-13.6	4.1	
GD 279F	01 51 55.046	+46 58 52.28	685-010802	J01515504+4658522	-1.9	2.6	-5.8	1.7	
GD 279H	01 51 55.520	+47 01 37.32	686-010968	J01515551+4701373	-9.1	1.1	-13.5	0.5	
GD 279D	01 51 59.862	+47 03 02.63	686-010978	J01515985+4703025	-1.1	1.3	-7.5	1.1	
GD 279C	01 52 00.142	+47 01 40.56	686-010980	J01520013+4701405	-25.9	23.6	0.2	2.3	
GD 279B	01 52 02.409	+47 01 41.48	686-010985	J01520240+4701414	-6.8	1.1	-1.3	0.8	
GD 279	01 52 02.960	+47 00 06.64	686-010987	J01520295+4700066	2.2	0.8	121.1	0.5	
GD 279A	01 52 02.968	+47 00 34.16	686-010988	J01520296+4700340	-1.1	9.1	-14.8	2.0	
GD 279E	01 52 03.399	+47 03 18.06	686-010989	J01520339+4703180	-2.3	2.8	-11.4	2.1	
GD 279G	01 52 05.094	+46 58 51.38	685-010821	J01520509+4658513	-13.1	1.9	-6.0	2.0	
GD 279I	01 52 09.789	+47 00 03.75	686-010999	J01520878+4700037	6.9	14.6	5.9	5.8	
GD 281	02 03 12.919	+54 48 28.68	725-018576	J02031292+5448286	121.2	1.6	-31.8	1.6	
GD 283	02 35 30.708	+57 15 24.50	737-027439	J02353067+5715247	193.5	2.7	-30.4	3.3	
