Table 6
Field Centers for the Standard Star Sequences

Field Name	alpha (J2000.0)	delta (J2000.0)	FOV	No. Stars	Range in V	Range in B - V	Range in U - B	Comments	
GD 2	00 07 33.56	+33 18 51.2	15 x 15	6	13.28harr15.19	-0.30harr + 0.91	-1.19harr + 0.68	All stars	
GD 8	00 39 44.65	+31 34 46.3	15 x 15	4	13.30harr14.70	-0.28harr + 0.80	-1.17harr + 0.45	All stars	
SA20	00 45 51.17	+45 53 06.2	40 x 40	23	8.91harr14.88	-0.05harr + 1.09	-0.42harr + 0.97	All stars	
SA20 SF1	00 44 47.51	+45 50 05.3	15 x 15	4	8.95harr11.27	+0.46harr + 1.08	+0.14harr + 0.89	SA20 245, 130, 133, 139	
SA20 SF2	00 45 24.64	+45 41 44.2	15 x 15	5	9.35harr11.27	+0.46harr + 1.08	+0.09harr + 0.89	SA20 133, 139, 39, 43, 163	
SA20 SF3	00 45 36.80	+45 52 21.4	15 x 15	4	8.91harr11.27	-0.05harr + 1.08	-0.42harr + 0.89	SA20 139, 291, 297, 163	
SA20 SF4	00 46 34.53	+46 06 53.6	15 x 15	5	9.52harr11.31	+0.09harr + 1.09	+0.04harr + 0.97	SA20 420, 431, 435, 446, 456	
SA20 SF5	00 46 56.20	+45 52 49.4	15 x 15	9	10.13harr14.88	+0.42harr + 1.02	-0.04harr + 0.76	SA20 182, 186, 338, 208, 340, 342, 343, 345, 346	
GD 10	01 06 59.69	+39 31 14.1	15 x 15	4	13.69harr15.46	+0.20harr + 0.82	-0.62harr + 0.45	All stars	
GD 275	01 18 54.23	+52 27 31.8	15 x 15	2	15.02harr15.68	+0.14harr + 1.48	-0.53harr + 1.36	Too few measures	
GD 277	01 29 26.95	+51 08 41.0	15 x 15	3	13.54harr14.52	-0.10harr + 1.26	-0.91harr + 0.98	All stars	
GD 13	01 29 41.71	+42 28 06.5	15 x 15	2	14.88harr15.00	-0.09harr + 0.75	-0.91harr + 0.31	Too few measures	
GD 278	01 31 02.37	+53 21 17.5	15 x 15	3	14.20harr14.90	+0.19harr + 1.45	-0.24harr + 1.72	All stars	
GD 421	01 51 00.14	+67 41 51.4	15 x 15	5	12.16harr14.58	-0.21harr + 2.60	-1.07harr + 2.64	Too few measures	
GD 279	01 52 02.42	+47 01 04.7	15 x 15	10	10.39harr14.44	+0.09harr + 1.12	-0.61harr + 0.96	All stars	
SA23	03 44 54.17	+45 17 06.9	30 x 30	16	9.44harr14.53	+0.17harr + 1.88	-0.46harr + 2.21	All star with 5 or more measures	
SA23 SF1	03 44 25.66	+45 06 55.1	15 x 15	5	9.97harr12.12	+0.19harr + 1.88	-0.39harr + 2.21	SA23 195, 198, 15, 45, 57	
SA23 SF2	03 44 43.72	+45 20 43.1	15 x 15	5	9.84harr12.31	+0.17harr + 1.10	-0.46harr + 0.99	SA23 402, 241, 246, 418, 264	
SA23 SF3	03 45 20.70	+45 27 28.4	15 x 15	5	10.55harr14.53	+0.51harr + 1.64	+0.22harr + 1.67	SA23 561, 433, 435, 436, 441	
SA23 SF4	03 45 26.36	+45 16 52.0	15 x 15	3	9.44harr11.72	+0.47harr + 1.10	-0.01harr + 0.99	SA23 418, 264, 300	
GD 61	04 38 34.36	+41 10 16.4	15 x 15	4	13.73harr14.88	-0.11harr + 0.55	-0.97harr + 0.32	All stars	
GD 64	04 57 18.51	+41 55 10.1	15 x 15	7	11.53harr14.44	+0.06harr + 1.82	-0.56harr + 2.18	Too few measures	
SA26	06 43 50.14	+44 38 14.8	35 x 30	16	9.12harr15.37	+0.12harr + 1.70	-0.07harr + 0.92	All star with 5 or more measures	
SA26 SF1	06 43 00.06	+44 45 05.4	15 x 15	6	9.12harr11.34	+0.51harr + 1.12	+0.00harr + 0.92	SA26 219, 231, 135, 234, 139, 150	
SA26 SF2	06 43 10.56	+44 28 29.3	15 x 15	2	9.54harr10.86	+0.12harr + 0.61	+0.11harr + 0.18	SA26 27, 60	
SA26 SF3	06 44 22.77	+44 47 21.5	15 x 15	5	11.09harr15.37	+0.60harr + 1.08	-0.07harr + 0.84	SA26 262, 264, 265, 268, 280	
SA26 SF4	06 44 54.45	+44 30 54.4	15 x 15	3	9.58harr11.99	+0.26harr + 1.70	+0.02harr + 1.77	SA26 172, 93, 95	
GD 91	08 30 12.91	+45 19 50.3	15 x 15	3	12.44harr15.07	+0.18harr + 1.02	-0.52harr + 0.84	All stars	
PG0837+401	08 41 01.45	+39 56 30.1	15 x 15	4	12.18harr15.51	-0.24harr + 0.92	-0.99harr + 0.75	All stars	
KUV 345-30	08 43 11.26	+39 45 32.4	15 x 15	2	14.32harr14.62	-0.28harr + 0.63	-1.13harr + 0.07	All stars	
PG0846+558	08 49 45.81	+55 35 26.8	15 x 15	3	14.69harr16.44	-0.21harr + 0.84	-1.04harr + 0.40	Too few measures	
GD 98	08 57 20.12	+40 17 23.9	15 x 15	3	13.46harr14.82	-0.13harr + 2.43	-0.93harr + 0.62	All stars	
GD 299	09 38 20.35	+55 05 50.1	10 x 10	1	12.09	-0.27	-1.16	White dwarf	
SA29	09 44 32.32	+44 15 34.9	70 x 60	15	8.79harr14.53	+0.35harr + 1.24	-0.03harr + 1.24	All star with 5 or more measures	
SA29 SF1	09 41 47.69	+44 12 05.8	15 x 15	2	8.79harr11.29	+0.81harr + 1.11	+0.45harr + 1.09	SA29 153, 157	
SA29 SF2	09 42 08.39	+44 32 57.1	15 x 15	1	10.30	+0.48	-0.01	SA29 350	
SA29 SF3	09 42 53.88	+43 49 50.2	15 x 15	2	9.59harr10.47	+0.55harr + 0.56	+0.02harr + 0.11	SA29 22, 24	
SA29 SF4	09 44 53.04	+44 25 07.5	15 x 15	1	8.29	+0.60	+0.17	SA29 303; only 4 measures	
SA29 SF5	09 46 56.72	+44 19 39.7	15 x 15	5	9.44harr12.13	+0.35harr + 1.12	+0.00harr + 1.08	SA29 322, 324, 327, 331, 251	
SA29 SF6	09 47 17.88	+44 39 45.4	15 x 15	5	13.08harr15.43	+0.48harr + 1.24	-0.06harr + 1.24	SA29 399, 400, 402, 406, 407	
PG0943+521	09 47 07.71	+51 54 39.1	15 x 15	2	14.50harr15.12	+0.21harr + 0.92	-0.98harr + 0.62	Too few measures	
GD 300	09 55 17.85	+51 38 20.4	15 x 15	3	12.66harr12.98	-0.32harr + 0.68	-1.23harr + 0.18	All stars	
KUV 348-07	09 56 55.40	+41 14 56.8	15 x 15	3	13.99harr15.55	+0.07harr + 0.79	-0.90harr + 0.35	All stars	
KUV 348-13	10 03 59.91	+40 33 43.7	15 x 15	3	12.50harr14.70	-0.33harr + 0.70	-1.07harr + 0.16	Two few measures	
KUV 348-14	10 05 12.72	+38 47 13.3	15 x 15	4	13.65harr15.14	-0.05harr + 0.66	-0.22harr + 0.12	Marginal	
GD 111	10 05 53.98	+42 46 53.1	15 x 15	3	13.15harr16.16	-0.10harr + 0.76	-0.86harr + 0.29	Too few measures	
GD 310	11 29 23.19	+38 07 43.1	15 x 15	4	13.91harr15.01	-0.18harr + 0.98	-1.00harr + 0.83	All stars	
PG1126+469	11 29 25.42	+46 35 03.8	15 x 15	3	12.73harr14.57	-0.14harr + 0.64	-0.69harr + 0.15	Too few measures	
KUV 352-09	11 36 24.39	+39 29 33.9	10 x 10	1	12.97	-0.15	-0.65	metal poor star	
SA103	11 56 55.60	-00 26 49.2	15 x 15	5	11.19harr12.44	+0.41harr + 0.98	-0.06harr + 0.81	SA103 518, 626, 528, 529, 646	
GD 314	12 04 32.61	+60 34 58.3	15 x 15	6	10.83harr15.01	-0.34harr + 1.34	-1.25harr + 1.20	All stars	
PG1210+533	12 13 21.68	+53 03 12.2	15 x 15	3	11.50harr14.46	-0.31harr + 0.65	-1.20harr + 0.14	Useful with care	
SA32	12 56 52.10	+44 12 50.9	40 x 60	22	8.96harr16.32	+0.40harr + 1.16	-0.16harr + 1.13	All star with 5 or more measures	
SA32 SF1	12 55 35.43	+44 21 08.6	15 x 15	5	8.96harr12.52	+0.48harr + 1.16	-0.11harr + 1.13	SA32 270, 271, 272, 282, 212	
SA32 SF2	12 55 38.25	+44 37 59.2	15 x 15	3	10.07harr11.17	+0.64harr + 1.04	+0.10harr + 0.87	SA32 330, 377, 379	
SA32 SF3	12 56 20.05	+44 15 13.7	15 x 15	3	9.32harr13.09	+0.65harr + 1.16	+0.10harr + 1.13	SA32 212, 220, 221	
SA32 SF4	12 56 47.38	+43 59 34.8	15 x 15	12	10.21harr16.32	+0.40harr + 1.07	-0.16harr + 0.98	SA32 166, 167, 105, 106, 107, 109, 174, 175, 176,177, 178, 113	
SA32 SF5	12 58 33.46	+43 43 27.1	15 x 15	2	9.79harr11.83	+0.60harr + 1.09	+0.02harr + 0.94	Too few measures	
PG1314+442	13 16 32.54	+43 58 40.1	15 x 15	2	15.24harr15.38	-0.14harr + 0.71	-0.99harr + 0.16	All stars	
GD 325	13 36 16.80	+48 29 31.9	15 x 15	4	11.97harr14.09	+0.03harr + 0.86	-0.95harr + 0.51	All stars	
PG1343+578	13 45 03.08	+57 31 12.1	15 x 15	2	13.81harr13.88	+0.01harr + 0.59	-0.59harr + 0.08	Too few measures	
GD 336	14 31 54.90	+37 06 03.3	15 x 15	4	12.98harr15.28	-0.27harr + 0.65	-1.15harr + 0.16	All stars	
PG1430+427	14 32 33.67	+42 31 19.1	15 x 15	4	11.42harr14.22	-0.15harr + 0.90	-0.67harr + 0.66	All stars	
SA107	15 38 21.01	+00 13 19.4	15 x 15	6	10.24harr12.47	+0.54harr + 1.60	+0.01harr + 1.80	SA107 970, 991, 847, 862, 1014, 871	
SA35	15 52 27.48	+44 42 47.8	60 x 40	18	9.02harr16.09	+0.16harr + 1.51	-0.09harr + 1.90	All star with 5 or more measures	
SA35 SF1	15 49 51.49	+44 31 38.6	15 x 15	3	9.95harr12.01	+0.18harr + 0.54	-0.02harr + 0.12	SA35 316, 243, 318	
SA35 SF2	15 50 36.08	+44 59 21.8	15 x 15	2	9.83harr11.54	+0.56harr + 0.92	+0.01harr + 0.66	SA35 491, 492	
SA35 SF3	15 51 53.85	+44 37 10.6	15 x 15	4	9.60harr12.78	+0.43harr + 0.56	-0.06harr + 0.03	SA35 338, 339, 341, 343	
SA35 SF4	15 52 09.32	+44 30 12.2	15 x 15	10	10.87harr16.09	+0.43harr + 1.51	-0.09harr + 1.90	SA35 339, 341, 343, 261, 262, 263, 264, 265, 266, 267	
SA35 SF5	15 53 54.34	+44 56 18.6	15 x 15	2	9.02harr9.26	+0.16harr + 1.06	+0.11harr + 1.00	SA35 518, 526	
SA35 SF6	15 54 46.80	+44 57 13.7	15 x 15	3	9.02harr12.92	+0.78harr + 1.25	+0.42harr + 1.41	SA35 526, 535, 539	
SA108	16 37 55.32	-00 28 42.9	15 x 15	3	11.86harr12.12	+0.53harr + 1.22	+0.09harr + 1.17	SA108 870, 872, 570	
