ID|DateObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2019-04-02|3C273-20190402@184136-R_Astrodon_2018_calib.fits|3C273|12 29 06.70|+02 03 09.0|187.2779|2.0525|980.8278|1054.3667|R_Astrodon_2018|2458576.278958333|180.0|20.7651|2.5467|41.6237|1.5184
2|2019-04-02|3C273-20190402@184456-R_Astrodon_2018_calib.fits|3C273|12 29 06.70|+02 03 09.0|187.2779|2.0525|981.6172|1056.9308|R_Astrodon_2018|2458576.281215278|180.0|20.7382|2.5219|40.9180|1.5403
3|2019-04-02|3C279-20190402@184854-R_Astrodon_2018_calib.fits|3C279|12 56 11.10|-05 47 22.0|194.0462|-5.7894|1009.7238|1026.9947|R_Astrodon_2018|2458576.2839930556|180.0|20.8511|2.5290|41.3017|1.5273
4|2019-04-02|3C345-20190402@174716-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1018.4014|1030.6735|R_Astrodon_2018|2458576.2411689814|180.0|20.6373|2.1533|58.2982|1.1692
5|2019-04-02|3C345-20190402@175030-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1018.0439|1030.2111|R_Astrodon_2018|2458576.2434143517|180.0|20.6541|2.2477|58.8766|1.1621
6|2019-04-02|3C371-20190402@180150-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1008.8722|1086.0198|R_Astrodon_2018|2458576.2513078703|180.0|20.9356|2.7881|35.3783|1.7127
7|2019-04-02|4C29-45-20190402@182722-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1021.4189|964.2561|R_Astrodon_2018|2458576.269039352|180.0|21.1122|2.4556|46.3230|1.3925
8|2019-04-02|4C29-45-20190402@183039-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1021.1645|967.0066|R_Astrodon_2018|2458576.2712962963|180.0|21.0420|2.6418|45.6143|1.4095
9|2019-04-02|4C38-41-20190402@173342-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1023.7035|1031.8965|R_Astrodon_2018|2458576.231736111|180.0|20.9020|2.4322|57.7677|1.1756
10|2019-04-02|4C38-41-20190402@173656-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1022.9378|1030.9976|R_Astrodon_2018|2458576.2339930558|180.0|20.9008|2.3699|58.3785|1.1680
