ID|DateObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2019-10-01|3C66A-20191001@204646-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458758.3658796297|180.0|21.6314433751|2.28281171322|46.6477|1.38280424769
2|2019-10-01|3C66A-20191001@205006-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458758.368136574|180.0|21.6318199014|2.15439147949|46.063|1.39654244269
3|2019-10-01|AO0235+16-20191001@205423-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458758.3711689813|180.0|21.7571609529|2.18173937798|47.2198|1.37076278986
4|2019-10-01|AO0235+16-20191001@205743-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458758.373425926|180.0|21.7417537785|2.13413669467|46.4725|1.38785676395
5|2019-10-01|ES2344+514-20191001@203904-R_Astrodon_2018.fts|ES2344+514|23 47 04.00|+51 42 18.0|356.76666666666665|51.705000000000005|R_Astrodon_2018|2458758.360520833|180.0|19.2983273419|2.68366558552|21.7249|2.71807012957
6|2019-10-01|ES2344+514-20191001@204224-R_Astrodon_2018.fts|ES2344+514|23 47 04.00|+51 42 18.0|356.76666666666665|51.705000000000005|R_Astrodon_2018|2458758.362789352|180.0|18.2775499951|2.87379025221|21.2269|2.77905319179
7|2019-10-02|3C66A-20191002@191923-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458759.3051967593|180.0|21.6642656851|2.32621264458|60.7907|1.14931580143
8|2019-10-02|3C66A-20191002@192245-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458759.307476852|180.0|21.6687489294|2.25507411957|60.2864|1.15515563163
9|2019-10-02|AO0235+16-20191002@192713-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458759.310636574|180.0|21.8119882954|2.09208008647|66.2324|1.0959401156
10|2019-10-02|AO0235+16-20191002@193034-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458759.3128935187|180.0|21.8064329776|2.24724614024|65.5011|1.10245770538
11|2019-10-02|ES2344+514-20191002@191148-R_Astrodon_2018.fts|ES2344+514|23 47 04.00|+51 42 18.0|356.76666666666665|51.705000000000005|R_Astrodon_2018|2458759.2999305557|180.0|21.6449869161|3.04524279833|34.6098|1.77152287106
12|2019-10-02|ES2344+514-20191002@191512-R_Astrodon_2018.fts|ES2344+514|23 47 04.00|+51 42 18.0|356.76666666666665|51.705000000000005|R_Astrodon_2018|2458759.302222222|180.0|21.651400512|2.91832060814|34.0991|1.79491933666
13|2019-10-02|OJ248-20191002@194318-R_Astrodon_2018.fts|OJ248|08 30 52.10|+24 11 00.0|127.71708333333332|24.183333333333334|R_Astrodon_2018|2458759.3218055554|180.0|21.0774152435|3.70360559225|35.7762|1.68822729822
14|2019-10-02|OJ248-20191002@194645-R_Astrodon_2018.fts|OJ248|08 30 52.10|+24 11 00.0|127.71708333333332|24.183333333333334|R_Astrodon_2018|2458759.3241435187|180.0|21.0365013066|3.2261251092|36.5286|1.65959228759
15|2019-10-02|OJ287-20191002@195010-R_Astrodon_2018.fts|OJ287|08 54 48.90|+20 06 31.0|133.70374999999999|20.108611111111113|R_Astrodon_2018|2458759.3265046296|180.0|21.6012858009|3.44468635321|30.9235|1.91555668042
16|2019-10-02|OJ287-20191002@195325-R_Astrodon_2018.fts|OJ287|08 54 48.90|+20 06 31.0|133.70374999999999|20.108611111111113|R_Astrodon_2018|2458759.3287731484|180.0|21.6100136212|3.14020018578|31.6632|1.87606097476
17|2019-10-02|OJ49-20191002@203857-R_Astrodon_2018.fts|OJ49|08 31 48.90|+04 29 39.0|127.95375|4.494166666666667|R_Astrodon_2018|2458759.3604398146|180.0|21.0779981663|2.23867691159|41.7526|1.48735525367
18|2019-10-02|OJ49-20191002@204216-R_Astrodon_2018.fts|OJ49|08 31 48.90|+04 29 39.0|127.95375|4.494166666666667|R_Astrodon_2018|2458759.3626967594|180.0|21.0905192615|2.41191293001|42.4706|1.46718766566
19|2019-10-02|PKS0735+17-20191002@193557-R_Astrodon_2018.fts|PKS0735+17|07 38 07.40|+17 42 19.0|114.53083333333332|17.705277777777777|R_Astrodon_2018|2458759.316689815|180.0|21.5772720155|2.70557669401|44.5146|1.41343056786
20|2019-10-02|PKS0735+17-20191002@193918-R_Astrodon_2018.fts|PKS0735+17|07 38 07.40|+17 42 19.0|114.53083333333332|17.705277777777777|R_Astrodon_2018|2458759.3189699072|180.0|21.5727469823|2.85662411451|45.2691|1.39521513759
21|2019-10-02|S5_0716+71-20191002@205027-R_Astrodon_2018.fts|S5_0716+71|07 21 53.40|+71 20 36.0|110.47249999999998|71.34333333333333|R_Astrodon_2018|2458759.3684259257|180.0|21.4397271888|2.14310264587|39.9237|1.55324014952
22|2019-10-02|S5_0716+71-20191002@205346-R_Astrodon_2018.fts|S5_0716+71|07 21 53.40|+71 20 36.0|110.47249999999998|71.34333333333333|R_Astrodon_2018|2458759.3706828705|180.0|21.3914034704|2.09444645047|40.0569|1.54898077775
23|2019-10-05|3C454-3-20191005@172741-R_Astrodon_2018.fts|3C454-3|22 53 57.70|+16 08 54.0|343.49041666666665|16.148333333333333|R_Astrodon_2018|2458762.2275694446|180.0|20.234135636|3.42560250759|39.4914|1.58515529882
24|2019-10-05|3C66A-20191005@180036-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458762.2504745373|180.0|21.509783092|3.23468923569|68.915|1.07328982272
25|2019-10-05|3C66A-20191005@180355-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458762.2527314816|180.0|20.9142531546|3.2399481535|68.6552|1.07527961998
26|2019-10-05|AO0235+16-20191005@180851-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458762.2562152776|180.0|18.6242704112|3.38421199322|80.1229|1.01585913509
27|2019-10-05|CTA102-20191005@172047-R_Astrodon_2018.fts|CTA102|22 32 36.40|+11 43 51.0|338.15166666666664|11.730833333333333|R_Astrodon_2018|2458762.222824074|180.0|21.138923065|3.12271305323|34.7257|1.771584258
