ra,dec
250.914087,39.921194
250.911440,39.913533
250.902345,39.919286
250.902282,39.912707
250.902939,39.921696
250.711390,39.632015
250.712236,39.630915
250.717660,39.632867
250.946159,39.840954
250.943298,39.840533
250.951502,39.832807
250.947297,39.840509
250.584609,39.911861
250.574323,39.913425
250.570906,39.855535
251.017572,39.713736
250.506173,39.810736
250.919699,39.617621
251.007137,39.775873
251.007960,39.772797
251.006504,39.770175
250.841895,39.972466
250.522122,39.800830
250.736826,39.725560
250.739385,39.724453
250.870146,39.995128
250.925212,39.715187
251.010235,39.617502
251.007939,39.615763
250.661040,39.879157
250.975223,40.023471
250.646814,39.988645
250.648823,39.989516
250.496387,39.947391
250.546039,39.852750
250.537308,39.610428
250.865329,39.714204
250.702435,39.655956
250.521288,39.662444
250.517588,39.663330
250.519587,39.664641
250.452783,39.714124
250.746761,39.916326
250.569336,39.641486
250.604025,39.851491
250.536141,39.876899
250.700786,39.665174
250.700779,39.664077
250.700479,39.661885
250.723482,39.981999
250.830934,39.928657
250.752172,39.757296
250.677497,39.951692
251.005591,39.635298
250.628855,39.847246
250.753635,39.645656
250.962515,39.820677
250.963956,39.821985
250.814212,39.634631
250.452737,39.794832
250.953748,39.689796
250.851318,39.807269
250.846457,39.806417
250.493271,39.795411
250.571420,39.660780
250.652216,39.690574
250.917519,39.627722
250.916106,39.628827
250.714232,39.589018
250.801763,39.609250
250.950430,39.671831
250.904966,39.774739
250.822528,39.607395
250.512678,40.017974
250.720577,39.809407
250.614217,39.672935
250.657559,39.870396
250.557621,39.950754
250.764326,39.589903
250.729681,39.682384
250.528637,39.858714
250.623830,39.763921
250.858973,39.962069
250.467011,39.705544
250.859576,39.869075
250.728739,39.833499
250.797131,39.921802
250.596674,39.697333
250.962660,39.779663
250.825165,39.888769
250.656113,39.867550
250.470980,39.787122
250.507213,40.011407
250.965642,39.983614
250.969360,39.983372
250.972501,39.982695
251.013778,39.603223
250.760921,39.744537
250.484359,39.610328
250.777661,40.030016
250.676426,40.009376
250.677299,40.011566
250.560840,39.840868
250.815994,39.747352
250.753223,39.667151
250.452460,39.990241
250.767309,40.024580
250.776315,40.003923
250.679859,39.644637
250.532414,39.873838
250.904700,39.687012
250.800730,39.729222
250.705519,39.777446
250.711831,39.909671
250.804641,39.930978
250.862874,39.758519
251.031260,39.889542
250.810435,39.905071
250.983886,39.949945
250.790516,39.808226
250.782569,39.887875
250.946400,39.724054
250.875043,39.810434
250.985641,39.926905
250.732329,39.653642
250.467197,39.674401
250.513738,39.699306
250.904521,39.847776
251.007970,39.644494
250.750247,39.649838
250.870887,39.792910
251.019152,39.727543
250.820609,39.787904
250.962120,39.755103
250.702904,39.986467
250.647647,39.689055
250.770326,39.743618
250.844150,39.968506
250.917222,39.655797
250.517545,39.944493
250.990370,39.993987
250.989243,39.995749
250.989513,39.994212
250.872975,39.865714
250.828275,39.986351
250.534661,39.727110
250.589716,39.673668
250.929260,39.807498
250.716175,40.001767
250.863004,39.645349
251.013473,39.935060
250.472949,39.865853
250.474087,39.864315
250.816119,39.970181
250.815556,39.971280
250.781235,39.973855
250.994012,39.670683
250.711889,39.833567
250.708452,39.832045
250.486027,39.846966
250.488604,39.848496
250.947021,39.925826
250.602628,39.857636
250.563853,39.812568
251.028761,39.644356
250.664665,39.722551
250.767179,39.969531
250.960060,39.776609
250.864845,39.755658
250.849126,39.785129
250.591586,39.992110
250.902491,40.024778
250.832917,39.624011
250.572641,39.859916
250.800774,39.770235
250.608494,39.831958
251.011913,39.769043
250.773116,39.660484
250.532506,39.965292
250.750358,39.821565
250.890996,39.623266
250.716279,39.681123
250.739458,39.734760
251.000975,39.943037
250.532373,39.586973
250.458854,39.928603
250.457996,39.928604
250.463150,39.930350
250.697774,39.989996
250.942359,39.775838
250.708019,39.980964
250.998821,39.876815
250.815412,39.711387
250.845220,39.894151
250.778148,39.870569
250.991712,39.774437
250.542734,39.814816
250.492926,39.939503
250.787507,39.715686
250.795284,39.725739
250.795272,39.724204
250.827797,39.760234
250.676658,39.817033
250.698924,39.729003
250.789707,39.669181
250.606563,39.899952
250.696628,39.682955
250.801141,39.638203
250.512449,39.883973
250.710680,39.781154
250.557701,39.714331
250.545428,39.909774
250.942660,39.805664
250.795945,39.952293
250.513667,39.829142
250.855156,39.594947
250.584642,39.684867
250.896764,39.661396
250.964737,39.677666
250.613117,39.842032
250.944839,39.654319
250.601757,39.743594
250.656876,39.611165
250.756758,39.682927
250.961430,39.771117
250.527675,39.762437
251.024715,39.689783
250.891265,39.682700
250.712100,39.822381
