|Unnamed: 0|Star|RAh|RAm|RAs|DEd|DEm|DEs|V|B-V|U-B|V-R|R-I|V-I|n|m|e_V|e_B-V|e_U-B|e_V-R|e_R-I|e_V-I|RA_deg|DEC_deg|RA_hhmmss|DEC_ddmmss|R|dxy_deg
0|853|KUV 433-03|||||||14.902|-0.255|-1.062|-0.111|-0.148|-0.255|7|3|0.0007|0.0007|0.0007|0.0018|0.0007|0.0027|249.60965416666664|35.00329444444444|16 38 26.317|+35 00 11.86|15.013000000000002|4.939240723857445
1|854|KUV 433-03A|||||||15.578|1.223|1.274|0.741|+0.613|+1.356|5|2|0.0010|0.0073|0.0063|0.0018|0.0014|0.0006|249.61588333333333|34.996275000000004|16 38 27.812|+34 59 46.59|14.837|4.944646316107606
2|855|GD 358|||||||13.653|-0.123|-1.019|-0.099|-0.097|-0.199|13|6|0.0095|0.0036|0.0041|0.0040|0.0029|0.0060|251.82649166666664|32.47581388888889|16 47 18.358|+32 28 32.93|13.752|7.413769942646235
3|856|GD 358A|||||||13.496|0.943|0.747|0.569|+0.485|+1.056|12|6|0.0022|0.0025|0.0022|0.0018|0.0011|0.0023|251.842975|32.42536111111111|16 47 22.314|+32 25 31.30|12.927|7.466092905545467
4|857|GD 358B|||||||12.57|0.677|0.215|0.378|+0.361|+0.735|11|6|0.0020|0.0010|0.0013|0.0016|0.0028|0.0025|251.84676666666667|32.393655555555554|16 47 23.224|+32 23 37.16|12.192|7.498011401360931
5|852|SA 35-539|||||||12.92|0.778|0.42|0.45|+0.407|+0.858|12|6|0.0010|0.0018|0.0013|0.0007|0.0012|0.0015|238.80745416666664|44.97095555555556|15 55 13.789|+44 58 15.44|12.47|13.005291063601103
6|851|SA 35-535|||||||9.12|1.251|1.413|0.66|+0.581|+1.241|4|3|0.0025|0.0011|0.0038|0.0011|0.0006|0.0011|238.75277083333333|44.98900277777778|15 55 00.665|+44 59 20.41|8.459999999999999|13.06264724362847
7|850|SA 35-526|||||||9.024|1.055|1.002|0.541|+0.496|+1.035|6|3|0.0011|0.0029|0.0050|0.0019|0.0008|0.0023|238.58261666666664|44.91855|15 54 19.828|+44 55 06.78|8.482999999999999|13.191588738407173
8|849|SA 35-518|||||||9.258|0.156|0.107|0.062|+0.086|+0.157|5|3|0.0013|0.0011|0.0011|0.0007|0.0019|0.0016|238.37025833333328|44.95854166666667|15 53 28.862|+44 57 30.75|9.196|13.402941930276851
9|848|SA 35-267|||||||16.093|0.596|-0.008|0.354|+0.345|+0.698|8|4|0.0021|0.0021|0.0076|0.0038|0.0117|0.0097|238.10115416666665|44.43335|15 52 24.277|+44 26 00.06|15.739|13.462527037260967
10|847|SA 35-266|||||||12.913|1.056|0.979|0.569|+0.506|+1.075|10|5|0.0007|0.0014|0.0007|0.0010|0.0017|0.0017|238.0980583333333|44.506477777777775|15 52 23.534|+44 30 23.32|12.344|13.490716362004969
11|846|SA 35-265|||||||16.039|0.517|-0.091|0.363|+0.341|+0.677|8|4|0.0046|0.0063|0.0041|0.0007|0.0091|0.0116|238.0574333333333|44.482180555555566|15 52 13.784|+44 28 55.85|15.676000000000002|13.520392874695549
12|845|SA 35-264|||||||13.775|0.828|0.499|0.457|+0.401|+0.857|6|3|0.0045|0.0029|0.0086|0.0020|0.0029|0.0045|238.05373333333333|44.475225|15 52 12.896|+44 28 30.81|13.318|13.521463759170532
13|842|SA 35-261|||||||12.126|1.508|1.898|0.86|+0.884|+1.740|25|11|0.0009|0.0006|0.0031|0.0007|0.0006|0.0004|238.0173875|44.41619722222222|15 52 04.173|+44 24 58.31|11.265999999999998|13.535383772869759
14|843|SA 35-262|||||||12.835|0.499|-0.032|0.299|+0.307|+0.609|19|10|0.0006|0.0008|0.0006|0.0009|0.0014|0.0012|238.0210375|44.43351666666666|15 52 05.049|+44 26 00.66|12.536|13.53785653362966
15|844|SA 35-263|||||||13.552|0.833|0.503|0.464|+0.423|+0.894|8|4|0.0018|0.0007|0.0037|0.0019|0.0007|0.0022|238.02111666666667|44.500386111111105|15 52 05.068|+44 30 01.39|13.088|13.560764110428254
16|840|SA 35-341|||||||12.565|0.5589999999999999|0.006999999999999999|0.337|+0.330|+0.670|18|9|0.0022|0.0011|0.0021|0.0013|0.0009|0.0018|237.98634166666665|44.55684444444446|15 51 56.722|+44 33 24.64|12.228|13.612981216024888
17|839|SA 35-339|||||||12.775|0.5539999999999999|0.028|0.336|+0.329|+0.662|4|2|0.0020|0.0030|0.0044|0.0032|0.0007|0.0027|237.97660416666665|44.54142777777778|15 51 54.385|+44 32 29.14|12.439|13.616743828066353
18|841|SA 35-343|||||||10.87|0.433|-0.063|0.271|+0.254|+0.529|11|6|0.0007|0.0012|0.0013|0.0018|0.0005|0.0010|237.98833333333332|44.59061666666667|15 51 57.200|+44 35 26.22|10.598999999999998|13.622928625558712
19|838|SA 35-338|||||||9.605|0.371|-0.015|0.221|+0.225|+0.456|12|6|0.0012|0.0004|0.0011|0.0011|0.0017|0.0004|237.96042916666664|44.69770833333333|15 51 50.503|+44 41 51.75|9.384|13.686936429599381
20|863|PG1648+536D|||||||12.246|0.637|0.103|0.3720000000000001|+0.361|+0.733|7|4|0.0026|0.0038|0.0064|0.0015|0.0019|0.0026|252.54827499999996|53.44992499999999|16 50 11.586|+53 26 59.73|11.874|13.758334821928818
21|862|PG1648+536C|||||||13.52|0.957|0.722|0.5489999999999999|+0.483|+1.031|10|5|0.0024|0.0007|0.0060|0.0007|0.0017|0.0013|252.53166249999995|53.480361111111115|16 50 07.599|+53 28 49.30|12.970999999999998|13.786346188500563
22|861|PG1648+536B|||||||14.047|0.611|0.052000000000000005|0.377|+0.372|+0.751|10|5|0.0007|0.0067|0.0042|0.0039|0.0026|0.0041|252.50480833333327|53.4874|16 50 01.154|+53 29 14.64|13.67|13.789873010716022
23|859|PG1648+536A|||||||14.329|0.7440000000000001|0.299|0.415|+0.387|+0.799|13|6|0.0051|0.0025|0.0057|0.0032|0.0037|0.0054|252.489375|53.50515555555555|16 49 57.450|+53 30 18.56|13.914|13.805525034887168
24|858|PG1648+536E|||||||15.152|0.6679999999999999|0.172|0.407|+0.326|+0.736|2|1|0.0007|0.0113|0.0071|0.0120|0.0184|0.0304|252.4507291666666|53.525063888888894|16 49 48.175|+53 31 30.23|14.745|13.820451152677453
25|860|PG1648+536|||||||14.05|-0.215|-1.024|-0.09|-0.126|-0.214|13|6|0.0026|0.0014|0.0028|0.0025|0.0042|0.0034|252.49938749999995|53.52548611111111|16 49 59.853|+53 31 31.75|14.14|13.826959721026604
26|864|GD 363C|||||||15.504|0.59|0.009000000000000001|0.34600000000000003|+0.294|+0.641|14|7|0.0041|0.0028|0.0072|0.0055|0.0193|0.0241|264.6105125|41.88903333333333|17 38 26.523|+41 53 20.52|15.158|14.02047294307191
27|865|GD 363B|||||||15.058|1.163|1.075|0.73|+0.635|+1.371|23|13|0.0022|0.0034|0.0218|0.0021|0.0034|0.0033|264.64079166666664|41.89185|17 38 33.790|+41 53 30.66|14.328|14.050835169474116
28|867|GD 363|||||||15.286|-0.108|-0.894|-0.126|-0.153|-0.272|21|12|0.0017|0.0017|0.0025|0.0022|0.0150|0.0122|264.6486125|41.87546944444445|17 38 35.667|+41 52 31.69|15.412|14.056153711817025
29|866|GD 363A|||||||12.9|1.013|0.8340000000000001|0.542|+0.497|+1.040|21|12|0.0006|0.0011|0.0015|0.0010|0.0010|0.0021|264.6459958333333|41.89948888888889|17 38 35.039|+41 53 58.16|12.357999999999999|14.057115217040137
30|835|SA 35-318|||||||11.807|0.18|0.124|0.129|+0.159|+0.286|19|10|0.0012|0.0010|0.0006|0.0009|0.0004|0.0010|237.5075583333333|44.55131666666666|15 50 01.814|+44 33 04.74|11.677999999999999|14.060843204600467
31|837|SA 35-492|||||||9.829|0.556|0.013|0.332|+0.329|+0.658|10|5|0.0008|0.0009|0.0011|0.0013|0.0020|0.0006|237.66241666666664|45.01037777777778|15 50 38.980|+45 00 37.36|9.497|14.078175545276109
32|833|SA 35-243|||||||12.011|0.542|-0.016|0.319|+0.319|+0.648|8|4|0.0005|0.0022|0.0006|0.0007|0.0011|0.0014|237.45486666666665|44.46487777777778|15 49 49.168|+44 27 53.56|11.691999999999998|14.081652785727139
33|836|SA 35-491|||||||11.539|0.915|0.6629999999999999|0.509|+0.457|+0.964|13|7|0.0010|0.0009|0.0039|0.0014|0.0009|0.0015|237.638275|44.968394444444456|15 50 33.186|+44 58 06.22|11.03|14.08518398078521
34|834|SA 35-245|||||||7.686|0.111|0.101|0.055|+0.046|+0.097|2|1|0.0021|0.0035|0.0014|0.0035|0.0014|0.0014|237.45815833333333|44.52208055555555|15 49 49.958|+44 31 19.49|7.631|14.097561735695374
35|868|GD 363D|||||||13.804|0.586|-0.011|0.35|+0.357|+0.705|11|6|0.0014|0.0011|0.0031|0.0021|0.0042|0.0052|264.69952083333334|41.90254444444445|17 38 47.885|+41 54 09.16|13.454|14.110500752715335
36|832|SA 35-316|||||||9.953|0.462|0.061|0.282|+0.279|+0.559|16|8|0.0012|0.0006|0.0006|0.0010|0.0009|0.0007|237.42156666666665|44.589936111111115|15 49 41.176|+44 35 23.77|9.671|14.154822837859173
37|404|G138 25|16.0|25.0|13.952|15.0|40.0|54.25|13.513|1.419|1.265|0.883|0.7959999999999999|1.685|2|1|0.0007|0.0177|0.0382|0.0028|0.0028|0.0049|246.30813333333333|15.681736111111109|16 25 13.952|15 40 54.25|12.63|24.53308600192498
38|869|GD 378A|||||||13.475|0.617|0.14|0.348|+0.330|+0.682|16|8|0.0018|0.0017|0.0011|0.0010|0.0011|0.0011|275.87875833333334|41.06951944444445|18 23 30.902|+41 04 10.27|13.127|25.165283577450005
39|870|GD 378|||||||14.288|-0.08|-0.962|-0.036000000000000004|-0.043|-0.091|17|8|0.0005|0.0009|0.0020|0.0017|0.0037|0.0032|275.9042166666666|41.06737500000001|18 23 37.012|+41 04 02.55|14.324000000000002|25.190602944479064
40|871|GD 378B|||||||13.393|0.69|0.156|0.409|+0.402|+0.809|14|5|0.0562|0.0035|0.0068|0.0019|0.0022|0.0034|275.9394874999999|41.096633333333344|18 23 45.477|+41 05 47.88|12.983999999999998|25.227304869980937
41|872|GD 378C|||||||11.771|0.612|0.13699999999999998|0.355|+0.339|+0.697|10|4|0.0008|0.0006|0.0009|0.0004|0.0014|0.0014|275.9588333333333|41.11220555555556|18 23 50.120|+41 06 43.94|11.416|25.24742377549958
42|410|PG1633+099G|16.0|35.0|32.336|9.0|50.0|30.74|13.749|0.693|0.079|0.412|0.389|0.804|15|8|0.0016|0.0012|0.0044|0.0012|0.0015|0.0023|248.88473333333332|9.841872222222225|16 35 32.336|9 50 30.74|13.337|30.02608738436236
43|412|PG1633+099F|16.0|35.0|36.713|9.0|49.0|40.34|13.768|0.878|0.254|0.523|0.522|1.035|15|8|0.002|0.0024|0.0048|0.0013|0.0022|0.0028|248.90297083333328|9.827872222222222|16 35 36.713|9 49 40.34|13.245|30.038936638114535
44|415|PG1633+099E|16.0|35.0|45.084|9.0|49.0|24.53|13.113|0.841|0.337|0.484|0.47100000000000003|0.953|16|9|0.0021|0.002|0.0037|0.0014|0.0018|0.0024|248.93785|9.823480555555557|16 35 45.083999999999996|9 49 24.53|12.629000000000001|30.0412016865034
45|409|PG1633+099A|16.0|35.0|25.984|9.0|47.0|53.19|15.259|0.871|0.305|0.506|0.506|1.011|23|10|0.0032|0.0042|0.0037|0.0033|0.0078|0.0099|248.85826666666665|9.798108333333333|16 35 25.984|9 47 53.19|14.753|30.071416285788008
46|408|PG1633+099|16.0|35.0|24.025|9.0|47.0|49.9|14.396|-0.191|-0.99|-0.085|-0.114|-0.20800000000000002|20|11|0.0016|0.0021|0.0031|0.0026|0.0085|0.0107|248.85010416666665|9.797194444444443|16 35 24.025|9 47 49.9|14.481|30.072841591588837
47|414|PG1633+099D|16.0|35.0|40.089|9.0|46.0|41.57|13.689|0.535|-0.021|0.324|0.32299999999999995|0.649|20|12|0.0016|0.0018|0.0028|0.0011|0.0018|0.002|248.9170375|9.77821388888889|16 35 40.089|9 46 41.57|13.365|30.087643781587655
48|411|PG1633+099B|16.0|35.0|33.304|9.0|46.0|20.71|12.968|1.081|1.017|0.589|0.503|1.09|18|10|0.0016|0.0013|0.0051|0.001|0.0013|0.0019|248.88876666666664|9.772419444444443|16 35 33.304|9 46 20.71|12.379000000000001|30.095158006582736
49|413|PG1633+099C|16.0|35.0|37.275|9.0|46.0|15.8|13.224|1.144|1.146|0.612|0.524|1.133|17|10|0.0017|0.0008|0.0022|0.001|0.0014|0.0027|248.90531249999995|9.771055555555558|16 35 37.275|9 46 15.8|12.612|30.095503348734773
50|873|SA 38-177|||||||10.85|0.442|0.015|0.27|+0.262|+0.533|12|7|0.0005|0.0005|0.0025|0.0010|0.0010|0.0012|281.8940625|45.18154166666667|18 47 34.575|+45 10 53.55|10.58|31.60877363000647
51|874|SA 38-178|||||||12.405|0.7240000000000001|0.175|0.43|+0.416|+0.845|12|6|0.0009|0.0009|0.0028|0.0010|0.0007|0.0006|281.89875416666666|45.17611944444445|18 47 35.701|+45 10 34.03|11.975|31.61247626284344
52|875|SA 38-326|||||||9.947|0.287|0.071|0.171|+0.193|+0.349|8|4|0.0007|0.0016|0.0013|0.0018|0.0007|0.0006|281.9188125|45.410936111111106|18 47 40.515|+45 24 39.37|9.776000000000002|31.672921550622632
53|876|SA 38-358|||||||9.854|1.132|1.186|0.583|+0.509|+1.095|9|4|0.0006|0.0015|0.0025|0.0018|0.0008|0.0012|282.09585|45.38954166666666|18 48 23.004|+45 23 22.35|9.271|31.84342916936494
54|877|SA 38-365|||||||11.625|1.205|1.3090000000000002|0.616|+0.546|+1.160|8|4|0.0006|0.0014|0.0006|0.0005|0.0006|0.0010|282.1354375|45.419680555555544|18 48 32.505|+45 25 10.85|11.009|31.887693017287276
55|879|SA 38-377|||||||10.451|0.967|0.778|0.521|+0.458|+0.976|4|2|0.0006|0.0007|0.0031|0.0025|0.0018|0.0018|282.1989791666666|45.33984444444446|18 48 47.755|+45 20 23.44|9.929999999999998|31.93632591482953
56|878|SA 38-375|||||||11.556|0.584|0.086|0.326|+0.312|+0.643|4|2|0.0013|0.0014|0.0007|0.0013|0.0012|0.0007|282.1962125|45.405494444444436|18 48 47.091|+45 24 19.78|11.23|31.945034313130794
57|880|SA 38-382|||||||11.351|0.586|0.141|0.329|+0.313|+0.645|4|2|0.0025|0.0006|0.0029|0.0006|0.0025|0.0018|282.22439999999995|45.42498611111111|18 48 53.856|+45 25 29.95|11.021999999999998|31.976203245982823
58|881|SA 38-253|||||||10.774|0.35700000000000004|0.025|0.223|+0.204|+0.428|9|4|0.0006|0.0005|0.0005|0.0005|0.0012|0.0006|282.26832083333335|45.23713888888889|18 49 04.397|+45 14 13.70|10.550999999999998|31.987037654033575
59|882|SA 38-391|||||||8.575|1.266|1.4409999999999998|0.6579999999999999|+0.577|+1.235|2|1|0.0014|0.0021|0.0057|0.0035|0.0035|0.0007|282.27964583333335|45.321325|18 49 07.115|+45 19 16.77|7.917000000000001|32.01258392131655
60|884|SA 38-270|||||||10.927|0.289|0.085|0.16399999999999998|+0.173|+0.320|10|5|0.0016|0.0012|0.0025|0.0007|0.0007|0.0005|282.41994583333326|45.151947222222226|18 49 40.787|+45 09 07.01|10.763|32.12219833694934
